IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt1951264,7.6,1,"Action, Adventure, Mystery",2013,The Hunger Games: Catching Fire (2013)
tt1300854,7.2,2,"Action, Adventure, Sci-Fi",2013,Iron Man Three (2013)
tt2294629,7.5,3,"Animation, Adventure, Comedy",2013,Frozen (I) (2013)
tt1690953,7.4,4,"Animation, Adventure, Comedy",2013,Despicable Me 2 (2013)
tt0770828,7.1,5,"Action, Adventure, Fantasy",2013,Man of Steel (2013)
tt1454468,7.8,6,"Adventure, Drama, Sci-Fi",2013,Gravity (2013)
tt1453405,7.3,7,"Animation, Adventure, Comedy",2013,Monsters University (2013)
tt1170358,7.9,8,"Adventure, Fantasy",2013,The Hobbit: The Desolation of Smaug (2013)
tt1905041,7.1,9,"Action, Crime, Thriller",2013,Furious 6 (2013)
tt1623205,6.3,10,"Adventure, Family, Fantasy",2013,Oz the Great and Powerful (2013)
tt1408101,7.8,11,"Action, Adventure, Sci-Fi",2013,Star Trek Into Darkness (2013)
tt1981115,7.0,12,"Action, Adventure, Fantasy",2013,Thor: The Dark World (2013)
tt0816711,7.0,13,"Action, Adventure, Horror",2013,World War Z (2013)
tt0481499,7.2,14,"Animation, Adventure, Comedy",2013,The Croods (2013)
tt2404463,6.6,15,"Action, Comedy, Crime",2013,The Heat (I) (2013)
tt1723121,7.0,16,"Comedy, Crime",2013,We're the Millers (2013)
tt1800241,7.3,17,"Crime, Drama",2013,American Hustle (2013)
tt1343092,7.3,18,"Drama, Romance",2013,The Great Gatsby (2013)
tt1457767,7.5,19,"Horror, Mystery, Thriller",2013,The Conjuring (2013)
tt2024432,5.7,20,"Comedy, Crime",2013,Identity Thief (2013)
tt2191701,5.4,21,Comedy,2013,Grown Ups 2 (2013)
tt1430132,6.7,22,"Action, Adventure, Sci-Fi",2013,The Wolverine (2013)
tt1091191,7.5,23,"Action, Biography, Drama",2013,Lone Survivor (2013)
tt1583421,5.8,24,"Action, Adventure, Sci-Fi",2013,G.I. Joe: Retaliation (2013)
tt1985966,6.4,25,"Animation, Adventure, Comedy",2013,Cloudy with a Chance of Meatballs 2 (2013)
tt1670345,7.3,26,"Crime, Mystery, Thriller",2013,Now You See Me (I) (2013)
tt0993846,8.2,27,"Biography, Comedy, Crime",2013,The Wolf of Wall Street (2013)
tt1327773,7.2,28,"Biography, Drama",2013,The Butler (I) (2013)
tt1951261,5.9,29,"Comedy, Crime",2013,The Hangover Part III (2013)
tt0848537,6.7,30,"Animation, Adventure, Family",2013,Epic (2013)
tt1535109,7.8,31,"Biography, Drama, Thriller",2013,Captain Phillips (2013)
tt3063516,6.5,32,Comedy,2013,Bad Grandpa (2013)
tt1663662,7.0,33,"Action, Adventure, Sci-Fi",2013,Pacific Rim (2013)
tt1245492,6.6,34,"Comedy, Fantasy",2013,This Is the End (2013)
tt2302755,6.5,35,"Action, Thriller",2013,Olympus Has Fallen (2013)
tt0453562,7.5,36,"Biography, Drama, Sport",2013,42 (2013)
tt1535108,6.6,37,"Action, Drama, Sci-Fi",2013,Elysium (I) (2013)
tt1691917,5.8,38,"Animation, Adventure, Comedy",2013,Planes (2013)
tt1210819,6.5,39,"Action, Adventure, Western",2013,The Lone Ranger (2013)
tt1483013,7.0,40,"Action, Adventure, Mystery",2013,Oblivion (I) (2013)
tt2226417,6.6,41,"Horror, Mystery, Thriller",2013,Insidious: Chapter 2 (2013)
tt2140373,7.5,42,"Biography, Comedy, Drama",2013,Saving Mr. Banks (2013)
tt1860353,6.5,43,"Animation, Adventure, Comedy",2013,Turbo (2013)
