IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0059742,8.0,1,"Biography, Drama, Family",1965,The Sound of Music (1965)
tt0059113,8.0,2,"Drama, Romance, War",1965,Doctor Zhivago (1965)
tt0059800,7.0,3,"Action, Adventure, Thriller",1965,Thunderball (1965)
tt0059245,6.6,4,"Biography, Drama, History",1965,The Greatest Story Ever Told (1965)
tt0059740,7.2,5,Western,1965,The Sons of Katie Elder (1965)
tt0059224,6.4,6,"Comedy, Musical, Romance",1965,Girl Happy (1965)
tt0229528,3.0,7,"Horror, Comedy",1965,The Legend of Blood Mountain (1965)
tt0059012,8.0,8,"Comedy, Drama, History",1965,Falstaff (Chimes at Midnight) (1965)
tt0059643,8.0,9,"Adventure, Comedy, Drama",1965,Rekopis znaleziony w Saragossie (1965)
tt0059229,7.7,10,"Comedy, Drama, Fantasy",1965,Giulietta degli spiriti (1965)
tt0058898,7.2,11,"Drama, Mystery, Sci-Fi",1965,"Alphaville, une étrange aventure de Lemmy Caution (1965)"
tt0059418,6.8,12,"Adventure, War, Western",1965,Major Dundee (1965)
tt0059565,6.9,13,"Comedy, Drama",1965,Paris vu par... (1965)
tt0060545,7.7,14,Drama,1965,Io la conoscevo bene (1965)
tt0059219,6.0,15,"Adventure, Drama, History",1965,Genghis Khan (1965)
tt0058796,5.3,16,"Drama, Romance",1965,Days of Our Lives (1965– )
tt0058812,7.9,17,"Comedy, War",1965,Hogan's Heroes (1965–1971)
tt0059674,6.2,18,Drama,1965,The Sandpiper (1965)
tt0058824,7.3,19,"Adventure, Comedy, Family",1965,Lost in Space (1965–1968)
tt0058791,7.8,20,Western,1965,The Big Valley (1965–1969)
tt0058815,7.5,21,"Comedy, Family, Fantasy",1965,I Dream of Jeannie (1965–1970)
tt0059578,8.3,22,Western,1965,Per qualche dollaro in più (1965)
tt0058855,8.2,23,"Action, Adventure, Sci-Fi",1965,The Wild Wild West (1965–1969)
tt0058805,8.3,24,"Action, Adventure, Comedy",1965,Get Smart (1965–1970)
