IMDbId,actors
tt0052618,Charlton Heston|Jack Hawkins|Haya Harareet|Stephen Boyd|Hugh Griffith|Martha Scott|Cathy O'Donnell|Sam Jaffe|Finlay Currie|Frank Thring|Terence Longdon|George Relph|André Morell|Fortunato Arena|Bruno Ariè|Les Ballets Africains|Emma Baron|Ady Berber|Marina Berti|Hugh Billingsley|Jerry Brown|Robert Brown|Lando Buzzanca|Joe Canutt|Otello Capanna|Emile Carrer|Richard Coleman|Antonio Corevi|Michael Cosmo|Alfredo Danesi|David Davies|Carmen de Hohenlohe|Victor De La Fosse|Liana Del Balzo|Mino Doro|Michael Dugan|Franco Fantasia|Dino Fazio|Enzo Fiermonte|Bob Folkerson|Giuliano Gemma|John Glenn|José Greci|Richard Hale|Claude Heater|Prince Hohenlohe|John Horsley|Eddie Juaregui|William Kiehl|Duncan Lamont|Howard Lang|Stevenson Lang|John Le Mesurier|Tutte Lemkow|Cliff Lyons|Luigi Marra|Ferdy Mayne|May McAvoy|Nona Medici|Furio Meniconi|Tiberio Mitri|Aldo Mozele|Thomas O'Leary|Remington Olmsted|Laurence Payne|Aldo Pial|Vladimiro Picciafuochi|Aldo Pini|Ferdinando Poggi|Diego Pozzetto|Prince Raimondo|Stella Rho|Edwin Richfield|Mario Rivoltella|Hector Ross|Emanuele Ruspoli|Amerigo Santarelli|Maxwell Shaw|Noel Sheldon|Aldo Silvani|Reginald Lal Singh|Gianni Solaro|Pietro Tordi|Giuseppe Tosi|Ralph Truman|Raimondo Van Riel|Venantino Venantini|Dervis Ward|Irina Wassilchikoff|Joe Yrigoyen|Nazzareno Zamperla
tt0053285,Mary Costa|Bill Shirley|Eleanor Audley|Verna Felton|Barbara Luddy|Barbara Jo Allen|Taylor Holmes|Bill Thompson|Bob Amsberry|Candy Candido|Pinto Colvig|Dal McKennon|Marvin Miller
tt0053291,Marilyn Monroe|Tony Curtis|Jack Lemmon|George Raft|Pat O'Brien|Joe E. Brown|Nehemiah Persoff|Joan Shawlee|Billy Gray|George E. Stone|Dave Barry|Mike Mazurki|Harry Wilson|Beverly Wills|Barbara Drew|Edward G. Robinson Jr.|Sam Bagley|Alex Ball|Brandon Beach|Al Breneman|Steve Carruthers|James J. Casino|Noble 'Kid' Chissell|Beulah Christian|Ted Christy|Marian Collier|Pat Comiskey|Paul Cristo|James Dime|Franklyn Farnum|Joan Fields|Duke Fishman|Mary Foley|George Ford|Paul Frees|Bobby Gilbert|Jack Gordon|Joe Gray|Stuart Hall|Sam Harris|Harold 'Tommy' Hart|Ted Hook|Shep Houghton|John Indrisano|Tom Kennedy|George Lake|Carl M. Leviness|King Lockwood|John Logan|Hank Mann|Tiger Joe Marsh|Jack Mather|Tipp McClure|Penny McGuiggan|Frank McLure|Laurie Mitchell|William H. O'Brien|Colleen O'Sullivan|Joe Palma|Helen Perry|Jack Perry|Danny Richards Jr.|Edwin Rochelle|John Roy|Cosmo Sardo|Scott Seaton|Sammy Shack|Fred Sherman|Carl Sklover|Bert Stevens|Arthur Tovey|Sid Troy|Ralph Volkie|Tito Vuolo|Sandra Warner|Billy Wayne|Grace Lee Whitney
tt0053221,John Wayne|Dean Martin|Ricky Nelson|Angie Dickinson|Walter Brennan|Ward Bond|John Russell|Pedro Gonzalez Gonzalez|Estelita Rodriguez|Claude Akins|Malcolm Atterbury|Harry Carey Jr.|Sheb Wooley|Fred Aldrich|Walter Barnes|George Bell|Audrey Betz|Nesdon Booth|Nick Borgani|George Bruggeman|Ralph Bucko|Yakima Canutt|Albert Cavens|Noble 'Kid' Chissell|Bud Cokes|Cecil Combs|Jose Cuchillo|Robert Donner|Fred Graham|Joe Gray|Myron Healey|Riley Hill|Eugene Iglesias|Arthur Kendall|Richard LaMarr|Cactus Mack|David O. McCall|Mathew McCue|Frank Mills|Gordon Mitchell|Kansas Moehring|Tom Monroe|Daniel Nunez|Jack Perry|Joe Phillips|Anthony Redondo|Bob Reeves|Waclaw Rekwart|Chuck Roberson|Bing Russell|Danny Sands|Joseph Shimada|Dean Smith|Milan Smith|Bob Steele|Sailor Vincent|Ted White|Bob Whitney|Chalky Williams
tt0052969,James Best|Ingrid Goude|Ken Curtis|Gordon McLendon|Baruch Lumet|Judge Henry Dupree|Alfredo de Soto
tt0052893,Emmanuelle Riva|Eiji Okada|Stella Dassas|Pierre Barbaud|Bernard Fresson
tt0124336,Gerald Mohr|Liz Renay|Robert Clarke|Stephanie Farnay|Harry Lauter|Ed Erwin|Lew Markman|Ray Dearholt|Kenne Duncan|Tony Redman|Frank Bellew|William Purdy|Bob Wallace|Bob Lilly Jr.|Dorothy Hardcastle|Boyd 'Red' Morgan|Roy 'Happy' Thomas|Al Wyatt Sr.|Buz Jackson|Melford Lehrman
tt0051852,Gina Lollobrigida|Pierre Brasseur|Marcello Mastroianni|Melina Mercouri|Yves Montand|Raf Mattioli|Vittorio Caprioli|Lidia Alfonsi|Gianrico Tedeschi|Nino Vingelli|Bruno Carotenuto|Luisa Rivelli|Anna Maria Bottini|Anna Arena|Edda Soligo|Herbert Knippenberg|Franco Pesce|Joe Dassin|Sonia Barbieri|Marcello Giorda|Teddy Bilis|Paolo Stoppa
tt0052572,Soumitra Chatterjee|Sharmila Tagore|Alok Chakravarty|Swapan Mukherjee|Tushar Bandyopadhyay|Gupi Banerjee|Panchanan Bhattacharya|Shanti Bhattacherjee|Jiten Bhons|Abhijit Chatterjee|Jogesh Chatterjee|Asha Devi|Belarani Devi|Sefalika Devi|Biren Ghosh|Dhiren Ghosh|Biresh Majumdar|Dhiresh Majumdar|Bechu Singha
tt0052520,Rod Serling|Robert McCord|Jay Overholts|Vaughn Taylor|James Turley|Jack Klugman|Burgess Meredith|John Anderson|J. Pat O'Malley|Barney Phillips|George Mitchell|Cyril Delevanti|Jon Lormer|John McLiam|Bill Erwin|Nan Peterson|Lew Brown|S. John Launer|David Armstrong|Gladys Cooper|Albert Salmi|John Dehner|John Larch|James Best|Gail Kobe|Paul Comi|Michael Fox|Bill Mumy|Wallace Rooney|Oscar Beregi Jr.|Ben Wright|Vladimir Sokoloff|Raymond Bailey|Stafford Repp|Paul Mazursky|Russ Bender|Marjorie Bennett|Don Keefer|Lew Gallo|Hugh Sanders|Sandy Kenyon|James Millhollin|Mary Gregory|Pat O'Malley|Arch Johnson|Hank Patterson|Sue Randall|Morgan Brittany|Jason Wingreen|Joseph V. Perry|Milton Parsons|William Shatner|Larry Blyden|Inger Stevens|Lee Marvin|Cliff Robertson|Joseph Schildkraut|Ed Wynn|Ernest Truex|James Gregory|Edward Andrews|Anne Francis|Joe Mantell|John Hoyt|Russell Johnson|Harry Townes|Fritz Weaver|Dick York|Simon Oakland|Richard Long|John McGiver|Martin Landau|Martin Balsam|Thomas Gomez|Jack Warden|Patricia Barry|Patricia Breslin|George Grizzard|Cecil Kellaway|Claude Akins|Joe Maross|David White|William D. Gordon|Stanley Adams|Will Kuluva|Liam Sullivan|Milton Selzer|Frank Overton|Edward Binns|Don Gordon|Mary LaRoche|Ross Martin|Jack Weston|Vivi Janiss|Adam Williams|Walter Brooke|Loring Smith|Christine White|Noah Keen|Fredd Wayne|Katherine Squire|Charles Aidman|Ivan Dixon|Phillip Pine|Howard Smith|Wright King|William Windom|Jesse White|Jeanette Nolan|Lee Philips|Paul Langton|Irene Tedrow|Kevin Hagen|Robert Cornthwaite|Ted de Corsia|Malcolm Atterbury|Arlene Martel|Betty Garde|John Marley|Virginia Gregg|William Edmonson|Mary Webster|James Flavin|Philip Abbott|Jay Adler|Bartlett Robinson|Jonathan Harris|Sandra Gould|Dabbs Greer|Theodore Marcuse|Merritt Bohn|John Conwell|William Kendis|John Mitchum|Robert Boon|Bing Russell|John Harmon|Howard McNear|Dana Dillaway|Arthur Batanides|Alice Frost|Edson Stroll|Howard Wright|Wesley Lau|Dick Wilson|Henry Beckman|Warren Oates|Jack Albertson|Jo Helton|Frank London|Chet Stratton|Nesdon Booth|Doris Karnes|Vic Perrin|John Fiedler|Ezelle Poule|Morgan Jones|Percy Helton|Bernard Fein|Henry Scott|Richard Karlan|Jim Boles|Ken Drake|Stephen Talbot|William Sargent|King Calder|Donna Douglas|Anne Barton|Nancy Rennick|Nora Marlowe|Clegg Hoyt|Burt Mustin|Vito Scotti|Jason Johnson|Shirley O'Hara|Danny Kulick|Marcel Hillaire|Jerry Fujikawa|Joseph Ruskin|Josip Elic|Tracy Stratford|Chuck Hicks|Olan Soule|Wayne Heffley|Robert Stevenson|Harry Fleer|Paul Bryar|Juney Ellis|Sandra Warner|Eve McVeagh|Russell Horton|Ross Elliott|Jeanne Evans|William Challee|William Keene|Fred Kruger|Peter Brocco|Ned Glass|Duane Grey|Art Lewis|Jack Raine|Andrea Darvi|John Newton|Steve Cochran|Richard Conte|Earl Holliman|Rod Taylor|Luther Adler|Brian Aherne|Art Carney|John Carradine|Fred Clark|Robert Cummings|Howard Duff|Kenneth Haigh|Richard Haydn|Dewey Martin|Kevin McCarthy|Roddy McDowall|John McIntire|Maxine Stuart|Keenan Wynn|Shelley Berman|Jack Carson|Dane Clark|Peter Falk|Larry Gates|Susan Harrison|Dean Jagger|Buster Keaton|Gary Merrill|Elizabeth Montgomery|Agnes Moorehead|Lois Nettleton|Barbara Nichols|Dean Stockwell|Harold J. Stone|Franchot Tone|Dennis Weaver|Theodore Bikel|Lloyd Bochner|Andy Devine|Susan Gordon|Geoffrey Horne|Arthur Hunnicutt|Josephine Hutchinson|Sarah Marshall|Barry Morse|Donald Pleasence|Warren Stevens|Phyllis Thaxter|Joseph Wiseman|Dana Andrews|Richard Basehart|Barbara Baxley|James Coburn|Robert Duvall|Richard Erdman|Steve Forrest|Ron Foster|Cedric Hardwicke|Pat Hingle|Dennis Hopper|Mike Kellin|Maggie McNamara|Howard Morris|Patrick O'Neal|David Opatoshu|Mickey Rooney|Telly Savalas|Robert Sterling|James Whitmore|Mary Badham|Joan Blondell|Ann Blyth|Neville Brand|Michael Constantine|Jackie Cooper|Wally Cox|Gary Crosby|Richard Deacon|Diana Hyland|Robert Keith|Lee Kinsolving|Robert Lansing|Barry Nelson|Collin Wilcox Paxton|Peter Mark Richman|Dan Duryea|Jim Hutton|Ida Lupino|Nehemiah Persoff|David Wayne|Gig Young|Orson Bean|Sebastian Cabot|Jean Carson|James Daly|Phyllis Kirk|Gene Lyons|Vera Miles|Jeff Morrow|Susan Oliver|Janice Rule|Pippa Scott|Alexander Scourby|Everett Sloane|Edgar Stehli|Barbara Stuart|H.M. Wynant|Joseph Bernard|Charles Bronson|John Crawford|Lili Darvas|June Dayton|Buddy Ebsen|Jack Grinnage|Paul Hartman|Cloris Leachman|Joanne Linville|Carmen Mathews|James Westerfield|Jean Willes|Jonathan Winters|Carol Burnett|Russell Collins|Susan Cummings|Richard Devon|Joan Hackett|Sherry Jackson|Phyllis Love|Nico Minardos|Alex Nicol|Robert Redford|Robert Sampson|Frank Silvera|Frank Sutton|Antoinette Bower|Pat Crowley|Ludwig Donath|Herbie Faye|Constance Ford|Connie Gilchrist|Wilfrid Hyde-White|Carolyn Kearney|Pert Kelton|Ruta Lee|Nan Martin|Mary Munday|Ed Nelson|Tim O'Connor|Jacqueline Scott|Bonnie Beecher|Hazel Court|William Demarest|Shelley Fabares|Paul Fix|Dee Hartford|Mariette Hartley|Marsha Hunt|Nancy Malone|Paul Newlan|Ralph Taeger|George Takei|John Van Dreelen|Helen Westcott|Jacqueline deWit|Murray Hamilton|Suzanne Lloyd|Read Morgan|Deirdre Owens|Elizabeth Allen|Barry Atwater|Don Dubbins|Jennifer Howard|Robin Hughes|Henry Jones|Paul Lambert|Robert P. Lieb|Frank Maxwell|Martin Milner|Ted Otis|Steven Perry|Sydney Pollack|William Reynolds|Simon Scott|Abraham Sofaer|Shepperd Strudwick|Guy Wilkerson|Estelle Winwood|Than Wyenn|Rayford Barnes|Antony Carbone|George Chandler|Jack Elam|Robert Emhardt|Evans Evans|Rex Holman|Strother Martin|Murray Matheson|Tom Reese|Eddie Ryder|Patricia Smith|Mark Tapscott|Dan Tobin|Kaaren Verne|R.G. Armstrong|Shirley Ballard|Trevor Bardette|Philippa Bevans|Edgar Buchanan|Linden Chiles|Don Durant|Michael Ford|Robert Foulk|Richard Kiel|Nancy Kulp|Joan Marshall|George Murdock|Cliff Osmond|Alma Platt|Frank Aletter|Barbara Barrie|Fred Beir|Leon Belasco|Randy Boone|James Broderick|James T. Callahan|Irene Dailey|Laura Devon|Bobby Diamond|Margaret Field|Harold Gould|Ed Kemmer|Josie Lloyd|David Macklin|Doro Merande|David Sheiner|Natalie Trundy|Ruth White|Ian Wolfe|Tod Andrews|Renee Aubry|Pamela Austin|Martine Bartlett|Jonathan Bolt|Michael Forest|Sterling Holloway|Bob Kelljan|George Lindsey|Celia Lovsky|Philip Ober|Sarah Selby|Lela Bliss|Virginia Christine|Jeanne Cooper|Maxine Cooper|Jerome Cowan|Patrick Macnee|Jean Marsh|James McCallion|Denise Alexander|Val Avery|Harry Bartell|Terry Burnham|Patricia Donahue|Joseph Hamilton|Kim Hamilton|Dodie Heath|George Keymas|Charles Lane|Jenna McMahon|Byron Morrow|Tom Palmer|William Phipps|Eileen Ryan|Robert Sorrells|Leonard Strong|Friedrich von Ledebur|Robert Warwick|Dave Willock|Frank Wolff|John A. Alonzo|David Garcia|Kelton Garwood|Jack Ging|Everett Glass|Robert Karnes|Gil Lamb|John Lasell|Jack Mann|Emily McLaughlin|Edward Platt|Douglas Spencer|Peggy Stewart|Ralph Votrian|Elen Willard|Hardie Albright|Frank Behrens|Helen Brown|Gage Clarke|Dexter Dupont|Robert Eaton|Lance Fuller|Muriel Landers|Tom Lowell|Moyna MacGill|Doris Packer|Julie Van Zandt|Edmund Vargas|Jacques Aubuchon|Carol Byron|Howard Caine|John Considine|John Craven|Barton Heyman|Ann Jillian|Asa Maynor|Mark Miller|William Mims|Greg Morris|Guy Raymond|Doris Singleton|Ray Teal|John Williams|Totty Ames|William 'Billy' Benedict|Jeffrey Byron|Roger Davis|Frank Ferguson|Brooke Hayward|Norman Leavitt|George Macready|Suzy Parker|Denver Pyle|Thalmus Rasulala|Michael Montgomery|Leslie Barrett|Walter Burke|Alan Dexter|Lisa Golm|Jan Handzlik|Joanna Heyes|Harry Jackson|Lori March|Horace McMahon|Lee Millar|Harry Raybould|Walter Reed|Naomi Stevens|Meg Wyllie|Mary Adams|Clark Allen|John Archer|Barry Brooks|Ben Cooper|Clancy Cooper|Paul Genge|Rodolfo Hoyos Jr.|Arte Johnson|Miranda Jones|Warren J. Kemmerling|Felix Locher|Jimmy Lydon|Jenny Maxwell|Harp McGuire|Leonard Nimoy|Alice Pearce|Hayden Rorke|Lee Van Cleef|Clem Bevans|Philip Coolidge|Betty Harford|Charles Herbert|Earle Hodgins|Rickey Kelman|Bill McLean|Orville Sherman|Harry Swoger|Dub Taylor|Paul Tripp|Shari Lee Bernath|Bill Bixby|Christine Burke|Phil Chambers|Barnaby Hale|Joyce Jameson|Henry Lascoe|Jeff Morris|George Petrie|Roy Roberts|Éva Szörényi|Charles Thompson|Joyce Van Patten|Lennie Weinrib|John Zaremba|Willis Bouchey|Douglass Dumbrille|Don Gazzaniga|Tom Gilleran|John Hanek|Kim Hector|Robert Hogan|Shawn Michaels|Penny Singleton|William Swan|Leslie Bradley|Wendell Holmes|Ron Howard|Ken Lynch|Larry J. Blake|Dee Carroll|Jerry Catron|Margarita Cordova|Vernon Gray|Kay Cousins Johnson|Valley Keene|Don Kelly|Therese Lyon|Mavis Neal Palmer|Barbara Perry|Fay Roope|Lee Sands|William Schallert|Amzie Strickland|Peter Walker|Patrick Whyte|Dorothy Adams|Jane Burgess|Michael Burns|Norma Connolly|Austin Green|Bernie Hamilton|Reid Hammond|Carol Hill|John Holland|Harold Innocent|Dale Ishimoto|Donald Losby|James Nolan|Max Showalter|Patrick Westwood|Albert Carrier|Veronica Cartwright|Terence de Marney|Edmund Glover|Ron Hagerthy|Buddy Joe Hooker|Ralph Manza|Troy Melton|Ralph Moody|Charles Seel|Leonard Bremen|Conlan Carter|Mary Carver|James Doohan|Betty Lou Gerson|Doris Kemper|William Lanteau|Wayne Mallory|Alan Napier|John Pickard|James Seay|Mercedes Shirley|Sara Taft|Dick Wessel|C. Lindsay Workman|Terry Becker|Michael Conrad|Bert Conroy|Douglas Lambert|Herbert Lytton|Georgia Simmons|Don Spruance|Alan Sues|Joe Bassett|Byron Foulger|Kendrick Huxham|Carter Mullally Jr.|Susan Dorn|Jonathan Hole|Florence MacMichael|James Maloney|Burt Metcalfe|Ferris Taylor|David Thursby|Marc Towers|Michael Vandever|Rusty Wescoatt|Jeanne Bates|Beverly Brown|Donald Foster|Raymond Greenleaf|Mona Houghton|Henry Hunter|Gregory Irvin|Thomas Nello|Jane Romeyn|Lee Sabinson|Robert Biheller|Henry Corden|Michael Keep|Florence Marly|Titus Moede|Barbara Morrison|Lenore Shanewise|Sailor Vincent|Carleton Young|Eddie Barth|Wolfe Barzell|Robert Bray|Claudia Bryar|Forrest Compton|Jerry Davis|Jamie Forster|Camille Franklin|Robert Hastings|Ray Kellogg|Helen Kleeb|Tammy Marihugh|Edgar Dearing|Irene Hervey|Sheridan Comerate|Joe Flynn|Norman Sturgis|Garry Walberg|Charles Carlson|Milton Frome|Bill Idelson|Rusty Lane|Dorothy Neumann|Edwin Rand|Jennifer Bunker|Angus Duncan|John Eldredge|Douglas Evans|Gertrude Flynn|Larry Johns|Lenore Kingston|Lillian O'Malley|Anthony Ray|Moria Turner|Mack Williams|Susan Crane|Hal K. Dawson|Johnny Eimen|Joe Higgins|Mary McMahon|Joseph Mell|Anne O'Neal|Kevin O'Neal|Nelson Olmsted|Robert Ball|Joan Chambers|Craig Curtis|Sherry Granato|Julie Newmar|Tudor Owen|Marge Redmond|Jim E. Titus|Patrick O'Moore|Robert Burton|Joe Corey|Jim Johnson|Richard Peel|Marc Cavell|Beverly Garland|Arthur Peterson|Phil Arnold|John Astin|James Gavin|Dick Geary|Tom Hatcher|Gene Roth|Patrick Waltz|Jimmy Baird|James Houghton|Bob Kline|Paul Nesbitt|Robert Tafur|Bart Burns|Anthony D. Call|Colin Campbell|Curt Conway|Madge Kennedy|James Yagi|Donald Journeaux|Buzz Martin|Doug McClure|House Peters Jr.|Jill Ellis|Lester Fletcher|Doug Heyes Jr.|Jean Inness|Frank Richards|Kevin Jones|Judee Morton|Lomax Study|Helen Wallace|Jack Younger|Richard Angarola|David Bond|Charles Kuenstle|Robert F. Simon|Judy Strangis|John Ward|Barry Bernard|Ron Masak|Colleen O'Sullivan|Leah Waggner|Ron Kipling|William Fawcett|Darryl Richard|Derrik Lewis|Bob Mitchell|Pat O'Hara|Burt Reynolds|Nina Roman|James Franciscus|Timmy Cletro|Joan Sudlow|Jo Ann Dixon|Carol Eve Rossen|James Browning|Mabel Forrest|Vincent Baggetta|Tony Benson|Claire Griswold|Ben Erway|Jay Hector|Vickie Barnes|Pat Close|Billy Beck|Louie Elias|Lyn Guild|Don Rickles|Patrick Hector|Dennis Kerlee|Sheldon Allman|Bill Walsh|Dee Sharon|Bernard Sell|Arthur Tovey|Robert Haines|Chet Brandenburg|Jimmie Horan|Mike Lally|Gene Coogan|Scott Seaton|Kenner G. Kemp|Eddie Marr|Michael Jeffers|Mitchell Rhein|Frank Baker|Ryan Hayes|William Meader|John Burnside|Monty O'Grady|Murray Pollack|Clark Ross|Jeffrey Sayre|Will J. White|George Bruggeman|John Close|Alphonso DuBois|Don Anderson|George Boyce|Brad Brown|Steve Carruthers|George Ford|Ed Haskett|Joseph Sargent|Ted O'Shea|Bob Duggan|Adrienne Marden|Fred Rapport|June Foray|Robby the Robot|Leon Alton|Douglas Bank|George Baxter|Paul E. Burns|John Clarke|Lisabeth Field|Logan Field|Tex Holden|Debbie Joyce|Ted Knight|Frank Logan|Allan Lurie|Mickey Maga|Oliver McGowan|Gloria Pall|Jack Perrin|Joe Phillips|Bob Reeves|Ted Stanhope|Mark Sunday|Russell Trent|Max Wagner|Eleanor Audley|Walter Bacon|Alex Ball|Paul Baxley|Billy Booth|Paul Bradley|Boyd Cabeen|Barbara Chrysler|Peter Coe|Pat Comiskey|Paul Denton|Beverly Englander|Barbara English|Franklyn Farnum|Peter Gabel|Jimmy Garrett|Kenneth Gibson|Larrian Gillespie|Joseph Glick|James Gonzalez|Herschel Graham|Joe Haworth|Chester Hayes|Butch Hengen|Diane Honodel|Bob Hopkins|Peter Hornsby|Charles Horvath|Jack Kenny|John Kroger|Perk Lazelle|Caryl Lincoln|Robert Locke Lorraine|Richard Lupino|Carl MacIntire|Thomas Martin|June McCall|Mitzi McCall|Mathew McCue|Frank Mills|Modoc|Mike Morelli|Bill Mullikin|Nels P. Nelson|Spec O'Donnell|Jack Perkins|Charles Perry|Joe Ploski|Paul Power|Sam Rawlins|Tony Regan|Max Slaten|Stephen Soldi|Ray Spiker|Norman Stevans|Jack Stoney|Martin Strader|Albert Szabo|Hal Taggart|Dan Terranova|Dwight Townsend|Wayne Tucker|Frankie Van|Glen Walters|David Ahdar|John Alban|Nick Borgani|Robert Brubaker|John Clark|Carole Conn|Bob Crane|Oliver Cross|Howard Culver|Chuck Fox|Jerry Fuller|Paul Gustine|Jean Heremans|Douglas Heyes|Stuart Holmes|Jack Hyde|Richard LaMarr|Frances Lara|Margie Liszt|Kermit Maynard|David O. McCall|Scotty Morrow|Addison Myers|Daniel Nunez|Norman Papson|Warren Parker|Jutta Parr|Michael Pataki|Paul Ravel|Robert Riordan|Armando Rodriguez|Val Ruffino|Joe Scott|George E. Stone|Diane Strom|Theresa Testa|Dan White|Jeane Wood|Zamba|Allen Zeidman|Don Ames|Mary Ellen Batten|Gene Benton|Eugene Borden|John Brahm|Larry Breitman|Keith Britton|William Burnside|Carmen D'Antonio|Maurice Dallimore|Rudy Dolan|David Fresco|Ray Galvin|Susie Garrett|Bethelynn Grey|Pitt Herbert|Stan Jones|Lea Marmer|Gregory McCabe|Hans Moebus|Alvy Moore|Rory O'Brien|William O'Connell|Jack Ramstead|Frieda Rentie|Norma Shattue|Roy N. Sickner|Robert Snyder|Laird Stuart|Charles Tannen|Sid Troy|Barry Truex|James Wellman|Bob Whitney|Chalky Williams|Edy Williams|Rhoda Williams|Sally Yarnell|Edward Astran|Sam Balter|Larry Barton|John Bose|Rudy Bowman|Norman Burton|Ann Cameron|Violet Cane|Michael Chain|Nick Cravat|Molly Dodd|Morris Drabin|Paul Dubov|Ken DuMain|Joe Evans|Leonard P. Geer|Bobby Gilbert|Gerald Gordon|Betty Graeff|Buck Harrington|Sam Harris|Bill Hickman|Billy E. Hughes|Peter Humphreys|Mary Jackson|Sally Kellerman|Colin Kenny|Carl M. Leviness|Sandra Lynne|Kreg Martin|Mary Lee Martin|Natalie Masters|Tipp McClure|Sol Murgi|Stuart Nisbet|William H. O'Brien|Eva Pearson|Warren Powers|Edwin Rochelle|Irene Sale|Diane Sayer|Norbert Schiller|Wade Shannon|Jacques Shelton|Frank Watkins|Bobs Watson|Don Wilbanks|Bill Zuckert|Seymour Cassel|Ted Christy|John Cliff|Russell Custer|Francis De Sales|Michael Gorfain|Elizabeth Harrower|Ted Jacques|Byron Kane|Kenneth Konopka|Denise Lynn|Sidney Marion|Charles Maxwell|Tony Miller|Gregory Morton|Kate Murtagh|Maidie Norman|Karen Norris|Kathleen O'Malley|Ruth Phillips|Cosmo Sardo|Ron Stokes|John L. Sullivan|Lurene Tuttle|Bill Walker|Ward Wood
