IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0107290,8.1,1,"Adventure, Sci-Fi, Thriller",1993,Jurassic Park (1993)
tt0107614,6.9,2,"Comedy, Drama, Family",1993,Mrs. Doubtfire (1993)
tt0106977,7.8,3,"Action, Crime, Drama",1993,The Fugitive (1993)
tt0106918,6.8,4,"Drama, Mystery, Thriller",1993,The Firm (1993)
tt0108160,6.8,5,"Comedy, Drama, Romance",1993,Sleepless in Seattle (1993)
tt0107211,5.8,6,"Drama, Romance",1993,Indecent Proposal (1993)
tt0107206,7.2,7,"Action, Crime, Drama",1993,In the Line of Fire (1993)
tt0107798,6.6,8,"Crime, Drama, Mystery",1993,The Pelican Brief (1993)
tt0108052,8.9,9,"Biography, Drama, History",1993,Schindler's List (1993)
tt0106582,6.4,10,"Action, Adventure, Thriller",1993,Cliffhanger (1993)
tt0106965,5.9,11,"Adventure, Drama, Family",1993,Free Willy (1993)
tt0107818,7.7,12,Drama,1993,Philadelphia (1993)
tt0107688,8.0,13,"Animation, Family, Fantasy",1993,The Nightmare Before Christmas (1993)
tt0107048,8.0,14,"Comedy, Fantasy, Romance",1993,Groundhog Day (1993)
tt0107050,6.9,15,"Comedy, Drama, Romance",1993,Grumpy Old Men (1993)
tt0106611,6.9,16,"Adventure, Comedy, Family",1993,Cool Runnings (1993)
tt0106673,6.8,17,"Comedy, Romance",1993,Dave (1993)
tt0107969,6.2,18,"Action, Crime, Drama",1993,Rising Sun (1993)
tt0106697,6.6,19,"Action, Crime, Sci-Fi",1993,Demolition Man (1993)
tt0108147,5.4,20,"Comedy, Family, Music",1993,Sister Act 2: Back in the Habit (1993)
tt0108358,7.8,21,"Action, Biography, Drama",1993,Tombstone (1993)
tt0108333,6.4,22,"Action, Adventure, Comedy",1993,The Three Musketeers (1993)
tt0107985,5.9,23,"Comedy, Family, Fantasy",1993,Rookie of the Year (1993)
tt0106375,4.8,24,"Comedy, Family, Romance",1993,Beethoven's 2nd (1993)
