IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0103639,8.0,1,"Animation, Adventure, Comedy",1992,Aladdin (1992)
tt0104431,6.6,2,"Adventure, Comedy, Family",1992,Home Alone 2: Lost in New York (1992)
tt0103776,7.0,3,"Action, Adventure",1992,Batman Returns (1992)
tt0104714,6.7,4,"Action, Crime, Thriller",1992,Lethal Weapon 3 (1992)
tt0104257,7.7,5,"Drama, Thriller",1992,A Few Good Men (1992)
tt0105417,6.3,6,"Comedy, Crime, Family",1992,Sister Act (1992)
tt0103855,6.2,7,"Action, Drama, Music",1992,The Bodyguard (1992)
tt0105793,7.0,8,"Comedy, Music",1992,Wayne's World (1992)
tt0103772,6.9,9,"Drama, Mystery, Thriller",1992,Basic Instinct (1992)
tt0104694,7.2,10,"Comedy, Drama, Family",1992,A League of Their Own (1992)
tt0105695,8.2,11,"Drama, Western",1992,Unforgiven (1992)
tt0104389,6.6,12,"Drama, Thriller",1992,The Hand That Rocks the Cradle (1992)
tt0105690,6.5,13,"Action, Thriller",1992,Under Siege (1992)
tt0105112,6.9,14,"Action, Thriller",1992,Patriot Games (1992)
tt0103874,7.5,15,Horror,1992,Dracula (1992)
tt0105812,6.7,16,"Comedy, Drama, Sport",1992,White Men Can't Jump (1992)
tt0104691,7.8,17,"Action, Adventure, Drama",1992,The Last of the Mohicans (1992)
tt0103859,5.4,18,"Comedy, Drama, Romance",1992,Boomerang (1992)
tt0105323,8.0,19,Drama,1992,Scent of a Woman (1992)
tt0104036,7.3,20,"Crime, Drama, Romance",1992,The Crying Game (1992)
tt0104231,6.5,21,"Adventure, Drama, Romance",1992,Far and Away (1992)
tt0104437,4.7,22,"Adventure, Comedy, Family",1992,Honey I Blew Up the Kid (1992)
tt0104452,6.0,23,"Comedy, Romance",1992,HouseSitter (1992)
tt0104070,6.5,24,"Comedy, Fantasy, Horror",1992,Death Becomes Her (1992)
tt0105699,6.3,25,"Crime, Drama, Thriller",1992,Unlawful Entry (1992)
tt0103786,5.6,26,"Comedy, Drama, Family",1992,Beethoven (1992)
tt0104291,6.2,27,"Drama, Romance, Sci-Fi",1992,Forever Young (1992)
tt0103644,6.4,28,"Action, Horror, Sci-Fi",1992,Alien³ (1992)
tt0104952,7.5,29,"Comedy, Crime",1992,My Cousin Vinny (1992)
tt0105435,7.1,30,"Comedy, Crime, Drama",1992,Sneakers (1992)
tt0104868,6.4,31,"Comedy, Drama, Family",1992,The Mighty Ducks (1992)
tt0104797,7.7,32,"Biography, Drama, History",1992,Malcolm X (1992)
tt0105414,6.3,33,"Drama, Thriller",1992,Single White Female (1992)
tt0104114,5.8,34,"Comedy, Crime",1992,The Distinguished Gentleman (1992)
tt0104839,6.0,35,"Adventure, Drama, Romance",1992,Medicine Man (1992)
tt0105104,5.8,36,"Action, Crime, Thriller",1992,Passenger 57 (1992)
tt0105265,7.3,37,Drama,1992,A River Runs Through It (1992)
tt0104187,5.7,38,Comedy,1992,Encino Man (1992)
tt0104897,5.4,39,"Action, Comedy, Crime",1992,Mo' Money (1992)
tt0105698,6.0,40,"Action, Sci-Fi",1992,Universal Soldier (1992)
tt0104438,5.8,41,"Comedy, Romance, Thriller",1992,Honeymoon in Vegas (1992)
tt0104692,5.4,42,"Horror, Sci-Fi",1992,The Lawnmower Man (1992)
