IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0038348,8.0,1,"Drama, Fantasy, Romance",1946,La belle et la bête (1946)
tt0036868,8.1,2,"Drama, Romance, War",1946,The Best Years of Our Lives (1946)
tt0038499,6.9,3,"Drama, Romance, Western",1946,Duel in the Sun (1946)
tt0039035,6.5,4,"Biography, Musical",1946,Till the Clouds Roll By (1946)
tt0039111,7.3,5,"Drama, Family",1946,The Yearling (1946)
tt0038824,7.9,6,Drama,1946,Panique (1946)
tt0038650,8.6,7,"Drama, Family, Fantasy",1946,It's a Wonderful Life (1946)
tt0038787,8.0,8,"Drama, Film-Noir, Romance",1946,Notorious (1946)
tt0038355,8.0,9,"Crime, Film-Noir, Mystery",1946,The Big Sleep (1946)
tt0038762,7.8,10,"Biography, Drama, Western",1946,My Darling Clementine (1946)
tt0038559,7.8,11,"Drama, Film-Noir, Romance",1946,Gilda (1946)
tt0038969,7.3,12,"Animation, Comedy, Family",1946,Song of the South (1946)
tt0038991,7.4,13,"Crime, Drama, Film-Noir",1946,The Stranger (1946)
tt0038988,7.5,14,"Drama, Film-Noir, Romance",1946,The Strange Love of Martha Ivers (1946)
tt0038669,7.8,15,"Crime, Drama, Film-Noir",1946,The Killers (1946)
tt0038854,7.6,16,"Crime, Drama, Film-Noir",1946,The Postman Always Rings Twice (1946)
tt0038733,8.1,17,"Comedy, Drama, Fantasy",1946,A Matter of Life and Death (1946)
tt0039053,6.5,18,Comedy,1946,Two Guys from Milwaukee (1946)
tt0038300,6.9,19,"Comedy, Fantasy, Romance",1946,Angel on My Shoulder (1946)
tt0038574,8.0,20,"Adventure, Drama, Mystery",1946,Great Expectations (1946)
tt0038589,7.1,21,"Comedy, Musical, Western",1946,The Harvey Girls (1946)
tt0038873,7.5,22,"Drama, Romance",1946,The Razor's Edge (1946)
tt0038975,7.5,23,"Drama, Mystery, Thriller",1946,The Spiral Staircase (1946)
tt0038494,7.0,24,"Crime, Film-Noir, Mystery",1946,Dressed to Kill (1946)
tt0038492,7.0,25,"Drama, Thriller, Mystery",1946,Dragonwyck (1946)
tt0038622,7.6,26,"Drama, Music, Romance",1946,Humoresque (1946)
tt0038965,7.1,27,"Crime, Drama, Film-Noir",1946,Somewhere in the Night (1946)
tt0038369,7.2,28,"Crime, Film-Noir, Mystery",1946,The Blue Dahlia (1946)
tt0038409,6.7,29,"Film-Noir, Thriller",1946,The Chase (1946)
tt0038776,6.2,30,"Biography, Drama, Musical",1946,Night and Day (1946)
tt0038823,7.8,31,"Drama, War",1946,Paisà (1946)
tt0038990,6.6,32,"Drama, Film-Noir, Romance",1946,The Strange Woman (1946)
tt0039017,7.0,33,"Crime, Drama, Film-Noir",1946,Terror by Night (1946)
tt0038453,7.2,34,"Crime, Drama, Film-Noir",1946,The Dark Corner (1946)
tt0038419,7.6,35,"Comedy, Romance",1946,Cluny Brown (1946)
tt0038765,7.1,36,"Drama, Romance",1946,My Reputation (1946)
tt0039040,7.8,37,"Drama, Romance",1946,To Each His Own (1946)
tt0038700,7.2,38,"Drama, Film-Noir",1946,The Locket (1946)
tt0038303,7.1,39,"Biography, Drama, Romance",1946,Anna and the King of Siam (1946)
tt0038913,8.0,40,Drama,1946,Sciuscià (1946)
tt0038984,7.4,41,Drama,1946,A Stolen Life (1946)
tt0038455,7.1,42,"Crime, Drama, Film-Noir",1946,The Dark Mirror (1946)
tt0038461,7.3,43,"Crime, Drama, Film-Noir",1946,Deception (1946)
tt0038615,6.2,44,"Drama, Music",1946,The Hoodlum Saint (1946)
tt0039036,6.8,45,"Drama, Romance, War",1946,Till the End of Time (1946)
tt0041037,7.6,46,"Horror, Mystery, Sci-Fi",1946,Lights Out (1946–1952)
tt0038777,7.1,47,Comedy,1946,A Night in Casablanca (1946)
tt0038380,6.8,48,"Action, Drama, War",1946,"A Boy, a Girl and a Dog (1946)"
tt0039066,6.6,49,"Drama, Film-Noir, Thriller",1946,Undercurrent (1946)
tt0038284,6.4,50,"Romance, Western",1946,Abilene Town (1946)
tt0038417,6.7,51,"Adventure, Film-Noir, Romance",1946,Cloak and Dagger (1946)
tt0039082,6.5,52,"Romance, Western",1946,The Virginian (1946)
tt0038458,6.8,53,"Film-Noir, Mystery, Romance",1946,Deadline at Dawn (1946)
tt0038360,7.0,54,"Crime, Film-Noir, Mystery",1946,Black Angel (1946)
tt0038839,6.4,55,"Crime, Drama, Mystery",1946,The Phantom Thief (1946)
tt0038908,6.9,56,"Adventure, Crime, Romance",1946,A Scandal in Paris (1946)
tt0038661,7.4,57,"Biography, Drama, Music",1946,The Jolson Story (1946)
tt0038435,7.1,58,"Action, Adventure, Crime",1946,The Crimson Ghost (1946)
