IMDbId,keywords
tt0077631,wrestling|high-school|year-1959|boyfriend-girlfriend-relationship|automobile-racing|rival|opposites-attract|car-accident|animated-credits|1950s|female-protagonist|cult-film|summer|school|beach|greaser|australian|diner|pep-rally|basketball|baseball|graduation|teen-romance|teenage-boy|teenage-girl|summer-romance|black-leather-jacket|based-on-stage-musical|locker|lifting-someone-into-the-air|scanimate|blonde|spandex-disco-jeans|last-day-of-school|wolf-whistle|cigarette-holder|reference-to-rosemary-clooney|one-word-title|wrong-side-of-the-tracks|teen-angst|loss-of-virginity|reference-to-elvis-presley|teen-movie|underage-smoking|teenager|rock-music|nostalgic|first-love|exchange-student|coming-of-age|nostalgia|wig|underage-drinking|tv-show-in-film|student-athlete|street-gang|school-dance|running|ring|premarital-sex|pie-in-the-face|los-angeles-storm-drain|los-angeles-california|live-television|jealousy|hair-color|gossip|funhouse|friendship|fantasy-sequence|dance|convertible|condom|auto-repair|american-football|young-love|cheerleader|drive-in-theater|carnival|pregnancy-scare|makeover|famous-song|drag-racing|blockbuster|flying-car|ear-piercing|letterman-sweater|reference-to-bucky-beaver|ferris-wheel|bleachers|pie-toss|mooning|coach|slumber-party|dance-contest|yearbook|school-principal|hickey
tt0077975,fraternity|smashing-a-guitar|school-expulsion|academic-probation|camera-shot-of-feet|stockinged-feet-in-face|female-stockinged-legs|blowtorch|pillow-fight|older-woman-younger-man-relationship|stuffed-bra|pity-sex|chainsaw|cult-film|hazing|toga-party|peeping-tom|food-fight|national-lampoon-series|college|parade|homecoming-parade|frat-house|college-dean|party|prank|male-rear-nudity|roommate|fraternity-initiation|dancing|underage|cucumber|grade-point-average|stealing-food|pot-smoking|vomiting|breasts|husband-wife-relationship|orgy|drinking|drink|college-campus|running-over-a-fire-hydrant|cheating-on-a-test|hit-with-a-golf-ball|golf-ball|year-1962|lust|female-rear-nudity|female-frontal-nudity|female-removes-her-clothes|voyeur|panties|riding-a-motorcycle-inside-a-house|beer|student-council|parade-float|deadpan-humor|fat-insult|humiliation|slob|woman-in-underwear|man-in-underwear|devil-on-shoulder|angel-on-shoulder|toga|stockings|overweight|virginity|racial-slur|marijuana|gay-slur|college-student|bully-comeuppance|beating|bar|bra-removing|drunkenness|hand-job|extramarital-affair|female-nudity|shoplifting|dildo|college-freshman|football-field|concert|marbles|sorority|supermarket|mayor|shopping-cart|cafeteria|car-accident|sex|upskirt|pay-phone|payphone|womens-college|road-trip|hell-week|chewing-gum|fraternity-pledge|womanizer|group-dance|bedsheets|nickname|armored-car|sensual|mid-term-exam|juke-joint|honor-court|heart-attack|rotc|tiptoeing|teen-movie|teen-comedy|reference-to-richard-nixon|neo-nazi|pre-vietnam-war|parody|infidelity|unfaithfulness|adultery|slip-the-undergarment|dating|cheerleader|black-panties|black-eye|door-shut-in-face|animal-in-title|pennsylvania|animal-feces|director-cameo|social-satire|stolen-exam|paddle-stick|slapstick-comedy|masturbation|seltzer|mustard|white-panties|anti-hero|actor-shares-last-name-with-character|revenge|pirate-costume|neck-brace|lie|bully|black-comedy|crosley-automobile|paddle|binge-drinking|gross-out-comedy|stupidity|sheriff|college-senior|killing-a-horse|initiation|blockbuster|what-happened-to-epilogue|nightclub|jukebox|grocery-store|switchblade|professor|mobster|1960s|ladder|spanking|horse|golf|male-nudity|disciplinary-hearing|stable|marching-band|angel-and-devil|teacher|breaking-the-fourth-wall|actor-shares-first-name-with-character|scene-at-a-window|ephebophile|may-december-romance|statutory-rape
tt0078346,superhero|year-1978|1970s|reporter|planet|jimmy-olsen|alien-superhero|flying-superhero|camera-shot-of-feet|pantyhose|suntan-pantyhose|female-stockinged-legs|female-stockinged-feet|criminal|evil|spaceship|newspaper-reporter|farm|alien|superhuman|orphan|newspaper|flying|machine|glowing-crystal|extraterrestrial-man|extraterrestrial-human|color-in-character's-name|metropolis-the-city|artificial-earthquake|long-take|superhero-origin|urban-setting|rural-setting|murder-of-a-police-officer|caped-superhero|red-cape|female-newspaper-reporter|water-boy|krypton-the-planet|kansas|first-part|first-date|epic|damsel-in-distress|newspaper-man|mother-son-hug|father-son-relationship|screaming-woman|yelling-for-help|earth-viewed-from-space|character-appears-on-front-page-of-a-newspaper|newspaper-photographer|year-1966|1960s|year-1948|1940s|reference-to-peter-pan|villain-arrested|hairy-chest|bare-chested-male|fainting-woman|man-with-glasses|female-reporter|san-andreas-fault|midwest|barn|mugger|guided-missile|hoover-dam|reference-to-george-armstrong-custer|telephone-pole|high-school-football|avalanche|newspaper-editor|high-school|manhattan-new-york-city|rocket-launching|dam|sidekick|nuclear-missile|convoy|indoor-swimming-pool|lightning|telephone-booth|secret-hideout|hold-up|news-crew|news-reporter|north-pole|foster-parent|cheerleader|galaxy|crystal|explosion|catastrophe|space-travel|governmentia|imprisonment|editorial-office|reboot-of-series|flying-man|catching-someone-who-falls|trapped-in-a-mirror|deus-ex-machina|one-word-title|comic-relief|shot-back-to-back|library|world-domination|mission|disguise|assumed-identity|adoption|time-reversal|san-francisco-california|sequel-mentioned-during-end-credits|fictional-city|world-trade-center-manhattan-new-york-city|california|based-on-comic-book|idealism|rescue|crime-fighter|new-york-city|struck-by-lightning|fainting|exploding-planet|blockbuster|exploding-gasoline-station|hologram|secret-headquarters|hyper-speed|radiation|helicopter-accident|disaster|loss-of-husband|falling-from-a-window|earthquake|time-lapse-photography|toupee|product-placement|convertible|outer-space|nerd|globe|desert|bullet-catching|sabotage|high-punted-football|christ-allegory|surrogate-family|origin-of-hero|video-surveillance|super-villain|falling-from-height|teenager|spacecraft|good-versus-evil|swimming-pool|airplane-accident|interview|revolving-door|heroism|native-american|laser-beam|loss-of-father|cat|flat-tire|human-alien|television-reporter|golden-gate-bridge|ultrasonic|super-genius|police-surveillance|police-chase|phantom-zone|invulnerability|prologue|mugging|killed-by-a-train|alley|supernova|reverse-footage|american-football|dual-identity|trial|airforce-one|train|dam-burst|yacht|megalomaniac|x-ray-vision|prison|telephone-box|police|helicopter|heart-attack|sunrise|statue-of-liberty-new-york-city|shootout|journalism|super-speed|escape|coming-of-age|fortress-of-solitude|thunderstorm|secret-identity|army|subway|innocence|super-strength|hero|school-bus|kryptonite|nuclear-weapons|cruise-missile|rooftop|cemetery|photographer|compassion|1950s|meteorite|famous-score|funeral|dc-comics|control-panel|balcony|foundling|test-launch|transformation|jewel-thief|subterranean|guide-animal|alien-contact|great-plains|death-of-father|based-on-play|title-spoken-by-character|character-name-in-title
tt0077523,1969-honda-cb-750-four-motorcycle|harley-davidson-electra-glide-motorcycle|harley-davidson-sportster|harley-davidson-panhead-motorcycle|treasurer-biker|secretary-biker|sergeant-at-arms-biker|biker-leader|vice-president-biker|president-biker|mustachioed-biker|road-captain-biker|headband|shorthaired-biker|clean-shaven-biker|bearded-biker|scruffy-biker|1959-cadillac-fleetwood-75-car|gang-that-lives-together|outlaw-gang|friends-who-live-together|orangutan|bikers|punch-up|singer|beer|prize-fighter|hate|boyfriend-girlfriend-relationship|fistfight|taking-a-dive|street-sweeper|persistent-boyfriend|female-slaps-a-male|woman-slaps-a-man|face-slap|famous-singer-as-themself|colorado|georgetown-colorado|car-rolling-into-water|pushing-a-car-into-water|car-in-water|tarzan-yell|hit-with-a-fish|canoe|ape|meat-packing-plant|bowling|split-in-bowling|reference-to-linda-marie-ronstadt|reference-to-dolly-parton|singing-duet|porch-swing|metal-detector|fruit-and-veg-stall|cantaloupe|animal-drinking-beer|stetson|trailer-home|bar-brawl|note-on-napkin|telling-someone-to-shut-up|feisty-old-woman|finger-gun|animal-human-kiss|kiss-on-the-lips|unwanted-kiss|baseball-cap-worn-backwards|sneeze|tattoo-on-arm|animal-that-acts-human|human-animal-relationship|animal-human-communication|pet-owner-relationship|singing-along-with-radio|singing-in-a-car|falling-off-a-motorcycle|giving-the-finger|chevrolet-pickup-truck|prank|finger-gesture-slitting-throat|reference-to-the-salvation-army|peanut|scene-during-opening-credits|blonde-woman|female-singer|country-western-singer|title-mentioned-in-song|five-word-title|violence|punched-in-the-stomach|punched-in-the-face|beating|car-motorcycle-chase|bar-fight|barroom-brawl|action-hero|hero|comic-sidekick|brawl|tough-girl|tough-guy|gun-in-purse|hand-to-hand-combat|mixed-martial-arts|street-fight|pump-action-shotgun|bare-knuckle-fighting|first-part|on-the-road|cookie|bare-chested-male|animal-driving-a-car|overweight|african-american|animal-actor|university-of-southern-california|threesome|shed|shed-sex|san-fernando-valley-california|road-stop|oreos|oedipal-complex|loading-dock|handgun|glad-rags|freight-train|college-student|clam-chowder|broken-windshield|beer-drinking|zoo|woman-with-a-gun|woman-singer|waitress|trout|tow-truck|steamroller|snobbery|sneezing|sleeping-bag|slaughterhouse|shotgun|semi-trailer|roadside-stand|revolver|redneck|practical-joke|pot-belly|police|pie|pickup-truck|old-woman|nightclub|mother-son-relationship|motel|meatpacking-plant|meat-hook|junkyard|gambling|fishing|false-teeth|driving-licence|diner|cowboy-hat|country-music|cattle|car-wash|camping|camper|black-eye|biker-gang|beer-belly|oreo-cookie|truck-driver|urination|prizefight|prizefighting|prizefighter|blockbuster|obscene-finger-gesture|motorcycle-gang|biker|fight|boxing|monkey-actor|bare-knuckle-boxing|garbage-truck|farce|martial-arts|showdown|surprise-ending
tt0077766,shark|island|great-white-shark|police-chief|fear|sailboat|photograph|mayor|hotel|beach|troubled-production|hysterics|boy|survival|husband-wife-relationship|screaming|sailing|drunkenness|water-balloon|teenage-girl|teen-angst|bar|teenage-boy|paranoia|obsession|exploding-boat|cyanide|panic|anger|land-developer|town-meeting|darkroom|observation-tower|man-wearing-a-swimsuit|male-protagonist|disbelieving-adult|disbelief|misunderstanding|cigarette-smoking|shark-feature|giant-shark|human-versus-shark|undersea-cable|whale-carcass|sharksploitation|number-2-in-title|digit-in-title|two-word-title|numbered-sequel|eaten-by-shark|characters-killed-one-by-one|short-shorts|boxer-shorts|hairy-chest|bare-chested-male|underwater-scene|fired-from-the-job|shipwreck|ribbon-cutting|rescue|raft|prayer|power-line|new-york|marriage|marina|loss-of-boyfriend|lighthouse|helicopter-accident|father-son-relationship|corpse|child-in-peril|bullet|brother-brother-relationship|boat-accident|binoculars|beached-whale|part-of-trilogy|second-part|shark-attack|creature-feature|blockbuster|sequel|killer-shark|helicopter|electrocution|water-skiing|scuba-diving|death-of-friend|number-in-title
tt0077651,halloween|michael-myers|babysitting|trick-or-treat|slasher|masked-killer|night|death|psychiatrist|knife|stalking|high-school|stabbed-to-death|knife-murder|year-1978|woman-strangled-to-death|woman-stabbed|subjective-camera|character's-point-of-view-camera-shot|evil-man|horror-movie-remade|first-part|dead-teenager|cult-film|laundry-room|gun|falling-from-height|electronic-music-score|dog|teenage-girl|woman-in-jeopardy|mental-patient|killing-spree|homicidal-maniac|girl|escaped-mental-patient|slasher-flick|psychopath|butcher-knife|first-of-series|psycho-killer|halloween-costume|boogeyman|1970s|dead-dog|serial-killer|escaped-killer|famous-score|stabbing|strangulation|holiday-horror|violence|yelling|punishment|surprise-ending|october|kill|evil|child|small-town|killing|murder-spree|teenager|kitchen-knife|neighbor|car|murder|mask|slasher-killer|midwest|attempted-murder|masked-man|creepy|masked-villain|mutilation|bad-guy|villain|psycho|body-count|grindhouse-film|grindhouse|terror|drive-in-classic|weirdo|killer|psycho-film|psycho-thriller|murderer|psycho-terror|urban-gothic|fear|demonic|sadistic-psychopath|serial-murderer|american-horror|knitting-needle|bedsheet-ghost|pay-phone|payphone|teen-horror|long-take|child-murders-a-child|manhunt|hiding-in-a-closet|ghost-costume|headstone|staged-murder-scene|small-town-sheriff|teenager-in-danger|teenager-murdered|21-year-old|17-year-old|stabbed-with-kitchen-knife|strangled-with-a-telephone-cord|return-to-hometown|one-word-title|reference-to-the-boogeyman|woman-wearing-only-a-man's-shirt|madman|maniac|serial-murder|psychopathic-killer|jumpsuit|blood-splatter|carrying-a-dead-body|year-1963|teen-movie|human-monster|dead-woman-with-eyes-open|dead-woman|title-at-the-end|husband-wife-relationship|lifting-a-male-into-the-air|female-protagonist|lifting-someone-into-the-air|carpenter|autumn-leaves|autumn|villain-not-really-dead-cliche|paranoia|stabbed-in-the-stomach|house-of-horrors|no-ending|indestructibility|goth|wetness|suburb|mercilessness|low-budget-film|female-victim|cutting|corruption|teen-angst|shot-in-the-chest|prologue|pot-smoking|marijuana|falling-out-a-window|car-theft|burglary|knitting|female-nudity|little-girl|little-boy|doctor-patient-relationship|babysitter|boy|teenage-boy|good-versus-evil|underage-drinking|murder-of-family|shot-to-death|off-screen-murder|running|fence|couch|1960s|blockbuster|nudity|nude-woman-murdered|music-score-composed-by-director|closet|sororicide|killer-child|throat-slitting|independent-film|title-spoken-by-character|light-bulb
tt0077928,prison|prisoner|drugs|student|smuggling|1970s|prison-guard|torture|escape|lawyer|court|airport|hashish|ends-with-text|bare-breasts|greek|ends-with-real-life-photos|famous-score|gay-interest|hairy-chest|jfk-international-airport-queens-new-york-city|homoeroticism|scenario-which-perverts-facts|based-on-distorted-reality|anti-turkism|voice-over-letter|killing-a-cat|wrestling|washing-hair|walking-the-wheel|walking-in-circles|violence|urination|u.s.-state-department|u.s.-senator|u.s.-senate|turk|turkish-soldier|turkish-flag|turkey-the-country|tunnel|truck|trial|translator|train|tongue|toilet|tinfoil|thief|theft|testicles|tea|tears|taxi-driver|sweating|sunglasses|suitcase|street-market|street-life|stepping-on-hand|steam-bath|spike-through-back-of-head|song|soap-bar|singing|singer|shooting-up|shaving-head|search|screwdriver|scissors|scapegoat|sadist|sadism|rifle|restaurant|reference-to-richard-nixon|rapture|rapist|rape|radio|prayer|police|policeman|pig|pickpocket|photograph|photographer|photo-album|philosophy|peacock|passport|parole|pain|nembutal|murderer|mother-son-relationship|montage|money|monastery|minaret|mercy|men's-bathroom|medical-tape|maltese|machine|luck|love|long-island-new-york|loneliness|letter|kiss|kissing-through-a-glass-window|kicking|key|justice|jumping|reference-to-jesus-christ|jeep|istanbul-turkey|interrogation|homosexual|homosexuality|hilton-hotel|hernia|heartbeat|harmonica|hanging-cat|handcuffs|haircut|gun|guitar|grenade|greece|goat|gay|frisbee|french|frenchman|freedom|forgiveness|food|flashlight|fingertips|fight|fear|family-relationships|factory|face-slap|eyeglasses|exercise|electric-fan|dying|drug-use|drug-trafficking|dog|digging|digging-through-a-prison-wall|diarrhea|destroying-property|crying|courtroom|communist|college-student|coca-cola|cloister|cigarette-smoking|christian|chopping-off-a-chicken's-head|chicken|chewing-gum|cave|catacomb|camera|cafe|burning-money|brother-sister-relationship|brother-brother-relationship|brooklyn-new-york-city|blues|blood|blindfold|bitten-out-tongue|beating|beating-feet|bazaar|bathing|barbed-wire|bank|baklava|bail|ankara-turkey|animal-cruelty|american-consulate|airplane|time-in-title|freeze-frame|bastinado|controversy|boyfriend-girlfriend-relationship|actual-animal-killed|gay-kiss|manipulating|what-happened-to-epilogue|vengeance|uniform|shower|running|attempted-rape|rampage|rage|prison-escape|masturbation|male-rear-nudity|friendship|female-nudity|degradation|death|cruelty|anger|accidental-killing|underwear|tarmac|nipples|military-weapon|visual-impairment|jail|terrorism|strip-search|slaughterhouse|secret-tunnel|prosecutor|prison-visit|prison-life|prison-haircut|prison-fight|pet-cat|nose-picking|muslim|judge|injustice|father-son-relationship|escape-tunnel|defense-attorney|customs|corrupt-lawyer|airport-security|severed-tongue|male-nudity|corporal-punishment|caning|speech|racism|hate|unsubtitled-foreign-language|cult-film|tongue-ripping|racial-slur|dead-cat|escape-attempt|brutality|escape-plan|contraband|drug-smuggling|murder|life-imprisonment|revenge|sanitarium|chase|cat|law|criminally-insane|based-on-true-story|based-on-book|independent-film|title-spoken-by-character
tt0077229,reference-to-harry-houdini|seance|medium|reference-to-louisa-may-alcott|reference-to-ernest-hemingway|plane-crash|doctor|reference-to-uri-geller|parapsychology|dying|accident|soul|reincarnation|reenactment|question|narration|investigation|death|heaven|near-death-experience|suicide-attempt|hell|independent-film|based-on-book
tt0079227,commando|rescue|vietnam|reference-to-j.-edgar-hoover|blackmail|behind-enemy-lines|rescue-attempt|rescue-mission|military|revenge|panic|car-phone|chauffeur|watching-tv|bar|knife-throwing|knife|impalement|kick|stopwatch|helmet|bulletproof-vest|evacuation|pay-phone|corpse|car-falling-off-cliff|product-placement|war-buddy|political-corruption|tow-truck|toilet|prisoner-of-war-camp|plastic-explosive|alarm-clock|jogging|dynamite|timebomb|asian-american|suitcase|anger|kitchen|van|shower|car-accident|shoeshine|stealing-a-car|media-coverage|news-report|airfield|aerial-shot|train-station|train|stalker|stalking|engineer|racetrack|race-car|letter|flash-forward|computer|ski-jump|false-accusation|cable-car|snow|mountain|skiing|mansion|car-into-water|limousine-driver|suspicion|danger|paranoia|on-the-run|investigation|distrust|premarital-sex|phone-booth|airport|airplane|female-lawyer|lawyer|flashback|man-wearing-a-wig|disguise|contract-killer|hired-killer|assassination-attempt|assassination|assassin|hit-list|intrigue|cigar-smoking|wire-cutters|top-secret|peace-treaty|eiffel-tower-paris|paris-france|wiretapping|drunkenness|drunkard|alcoholic|doorman|butler|apartment|hotel|reference-to-agatha-christie|cia-agent|suitcase-bomb|cover-up|conspiracy|corrupt-politician|politician|politics|washington-d.c.|los-angeles-california|california|suspense|animal-in-title|color-in-title|cult-film|professor|shot-in-the-head|shot-to-death|shot-in-the-chest|machine-gun-nest|rifle|sniper-rifle|viet-cong|tommy-gun|post-vietnam-war|military-jeep|uzi|silencer|revolver|vietnam-war|reluctant-hero|mission|improvised-weapon|knocked-out|helicopter|chop-socky|beating|kicked-in-the-stomach|kicked-in-the-face|punched-in-the-chest|commando-raid|jungle|forest|mixed-martial-arts|black-ops|special-forces|mercenary|soldier|major|sunglasses|battlefield|mustache|escape-attempt|woods|gore|1970s|ex-special-forces|set-up|double-cross|betrayal|deception|escape|anti-hero|ex-soldier|vietnam-veteran|opening-action-scene|reference-to-john-wayne|car-crash|car-jump|kissing-while-having-sex|sex|blood-splatter|gun|carnage|brutality|bullet-ballet|death|slow-motion-scene|kicking|gun-duel|gun-fu|punched-in-the-face|warrior|black-belt|blood|ak-47|roundhouse-kick|flying-kick|karate-kick|karate-chop|taekwondo|karate|kung-fu|kung-fu-classic|disarming-someone|showdown|explosion|hand-grenade|pistol|martial-arts-master|machine-gun|martial-artist|m-16|brawl|fistfight|fight|fighting|hand-to-hand-combat|commando-mission|commando-unit|chase|car-chase|battle|gun-battle|ambush|combat|gunfight|shootout|violence|tough-guy|one-against-many|one-man-army|action-hero|hero|snowmobile|sniper|motorcycle|limousine|exploding-airplane|diplomat|cia|bomb|murder|martial-arts|corruption|ski-resort|death-of-friend|independent-film|title-spoken-by-character|surprise-ending
tt0077288,fairy|quarrel|saint-tropez-france|morale|transvestite|homosexuality|transvestism|boyfriend-girlfriend-relationship|homophobia|stepfather-stepson-relationship|gay-couple|french-sex-comedy|sitcom|table-manners|butler|cote-d'azur|southern-france|couple|homosexual-father|embarrassment|glbt-issues|sexual-humor|satire|wig|spectacle|soup|hat|greek-statue|engagement|cult-film|birthday|social-commentary|sex-comedy|father-son-relationship|gay-stereotype|gay-parent|gay-interest|farce|based-on-play|provence
