IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0035942,7.0,1,"Comedy, Musical, Romance",1943,Girl Crazy (1943)
tt0036055,6.4,2,Comedy,1943,Jitterbugs (1943)
tt0036342,8.0,3,Thriller,1943,Shadow of a Doubt (1943)
tt0035605,6.4,4,"Drama, Thriller",1943,Above Suspicion (1943)
tt0035706,6.1,5,"Film-Noir, History, Horror",1943,Calling Dr. Death (1943)
tt0035665,6.6,6,"Action, Adventure, Crime",1943,Batman (1943)
tt0035896,7.0,7,"Adventure, Drama, History",1943,For Whom the Bell Tolls (1943)
tt0036241,5.5,8,"Comedy, Drama, Romance",1943,The Outlaw (1943)
tt0036244,8.1,9,"Drama, Western",1943,The Ox-Bow Incident (1943)
tt0036348,7.2,10,"Crime, Film-Noir, Mystery",1943,Sherlock Holmes Faces Death (1943)
tt0036377,7.7,11,"Biography, Drama",1943,The Song of Bernadette (1943)
tt0036969,7.6,12,"Drama, Romance",1943,Jane Eyre (1943)
tt0036112,8.2,13,"Drama, Romance, War",1943,The Life and Death of Colonel Blimp (1943)
tt0036323,7.6,14,"Action, Drama, War",1943,Sahara (I) (1943)
tt0036261,6.5,15,"Drama, Horror, Music",1943,Phantom of the Opera (1943)
tt0035979,7.5,16,"Comedy, Drama, Fantasy",1943,Heaven Can Wait (1943)
tt0036027,7.2,17,"Fantasy, Horror",1943,I Walked with a Zombie (1943)
tt0035966,7.5,18,"Drama, Film-Noir, Thriller",1943,Hangmen Also Die! (1943)
tt0035798,6.5,19,"Action, Comedy, Romance",1943,The Desperadoes (1943)
tt1980031,7.2,20,Documentary,1943,A Welcome to Britain (1943)
tt0036172,7.9,21,"Comedy, Romance, War",1943,The More the Merrier (1943)
tt0035799,7.2,22,"Adventure, History, War",1943,Destination Tokyo (1943)
tt0035899,6.6,23,"Fantasy, Horror, Sci-Fi",1943,Frankenstein Meets the Wolf Man (1943)
tt0036341,6.9,24,"Drama, Horror, Mystery",1943,The Seventh Victim (1943)
tt0036098,7.2,25,"Adventure, Family",1943,Lassie Come Home (1943)
tt0036391,7.3,26,Musical,1943,Stormy Weather (1943)
tt0036174,7.2,27,"Comedy, Romance",1943,Mr. Lucky (1943)
tt0036367,7.6,28,"Drama, Romance, War",1943,So Proudly We Hail! (1943)
tt0035608,7.0,29,"Drama, War",1943,Action in the North Atlantic (1943)
tt0035884,7.4,30,"Thriller, War",1943,Five Graves to Cairo (1943)
tt0036506,8.0,31,Drama,1943,Vredens dag (1943)
tt0036515,7.5,32,Drama,1943,Watch on the Rhine (1943)
tt0035959,7.0,33,"Drama, Romance, War",1943,A Guy Named Joe (1943)
tt0036154,8.0,34,Short,1943,Meshes of the Afternoon (1943)
tt0036104,6.9,35,"Horror, Thriller",1943,The Leopard Man (1943)
tt0036126,7.2,36,"Biography, Drama, Romance",1943,Madame Curie (1943)
tt0036376,6.2,37,"Fantasy, Horror",1943,Son of Dracula (1943)
tt0035703,7.3,38,"Musical, Fantasy",1943,Cabin in the Sky (1943)
tt0036349,7.0,39,"Film-Noir, Mystery",1943,Sherlock Holmes in Washington (1943)
tt0036094,6.4,40,"Comedy, Music, Mystery",1943,Lady of Burlesque (1943)
tt0036295,7.7,41,"Animation, Comedy, Short",1943,Red Hot Riding Hood (1943)
tt0037303,7.4,42,"Film-Noir, Mystery, Thriller",1943,The Spider Woman (1943)
tt0035160,7.8,43,"Crime, Drama, Romance",1943,Ossessione (1943)
tt0036400,6.8,44,"Action, Adventure, Drama",1943,Sugata Sanshirô (1943)
tt0035937,6.7,45,"Drama, Mystery, Thriller",1943,The Ghost Ship (1943)
tt0036384,6.6,46,"Comedy, Musical, Romance",1943,Stage Door Canteen (1943)
tt0034694,7.2,47,"Drama, War",1943,Edge of Darkness (1943)
tt0036310,6.0,48,"Drama, Musical, Romance",1943,Rhythm Serenade (1943)
tt0035763,6.4,49,"Action, Adventure, Drama",1943,Crash Dive (1943)
tt0036022,7.1,50,"Comedy, Drama, Family",1943,The Human Comedy (1943)
tt0035616,7.1,51,"Action, Drama, History",1943,Air Force (1943)
tt0036431,7.6,52,"Drama, War",1943,This Land Is Mine (1943)
tt0035751,7.0,53,"Drama, Music, Romance",1943,The Constant Nymph (1943)
tt0035958,6.2,54,"Drama, History, War",1943,'Gung Ho!': The Story of Carlson's Makin Island Raiders (1943)
tt0036443,6.4,55,"Action, Drama, History",1943,Titanic (1943)
tt0036414,6.9,56,"Action, War, Adventure",1943,Tarzan Triumphs (1943)
tt0035664,7.0,57,War,1943,Bataan (1943)
tt0036182,6.6,58,"Family, Western",1943,My Friend Flicka (1943)
tt0034936,6.8,59,"Drama, Mystery",1943,Keeper of the Flame (1943)
tt0036166,5.5,60,"Drama, History, War",1943,Mission to Moscow (1943)
