IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0055254,7.2,1,"Animation, Adventure, Comedy",1961,One Hundred and One Dalmatians (1961)
tt0055614,7.6,2,"Crime, Drama, Musical",1961,West Side Story (1961)
tt0054847,7.3,3,"Adventure, Biography, Drama",1961,El Cid (1961)
tt0054632,7.9,4,"Drama, Mystery",1961,L'année dernière à Marienbad (1961)
tt0055572,7.6,5,"Comedy, Drama, Romance",1961,Une femme est une femme (1961)
tt0055508,8.2,6,"Comedy, Drama",1961,Teen Kanya (1961)
tt0055082,7.8,7,"Drama, Romance",1961,"Léon Morin, prêtre (1961)"
tt0054130,8.0,8,Drama,1961,La notte (1961)
tt0054861,7.0,9,Drama,1961,The Exiles (1961)
tt0055320,8.1,10,Drama,1961,Il posto (1961)
tt0054698,7.7,11,"Comedy, Drama, Romance",1961,Breakfast at Tiffany's (1961)
tt0055277,7.1,12,"Comedy, Family, Romance",1961,The Parent Trap (1961)
tt0054518,8.4,13,"Action, Comedy, Crime",1961,The Avengers (1961–1969)
tt0055662,7.2,14,"Comedy, Family",1961,The Beverly Hillbillies (1962–1971)
tt0055031,8.3,15,"Drama, War",1961,Judgment at Nuremberg (1961)
tt0054533,8.4,16,"Comedy, Family",1961,The Dick Van Dyke Show (1961–1966)
tt0054953,7.6,17,"Action, Adventure, Drama",1961,The Guns of Navarone (1961)
tt0054545,7.2,18,Comedy,1961,Hazel (1961–1966)
tt0054997,8.0,19,"Drama, Sport",1961,The Hustler (1961)
tt0055630,8.3,20,"Action, Drama, Thriller",1961,Yôjinbô (1961)
tt0054866,7.0,21,"Drama, Romance",1961,Fanny (1961)
tt0055069,6.5,22,Comedy,1961,The Ladies Man (1961)
tt0055184,7.4,23,"Drama, Romance, Western",1961,The Misfits (1961)
tt0055471,7.8,24,"Drama, Romance",1961,Splendor in the Grass (1961)
tt0054692,6.1,25,"Comedy, Musical",1961,Blue Hawaii (1961)
tt0054743,7.8,26,"Drama, Romance",1961,The Children's Hour (1961)
tt0055256,8.0,27,Comedy,1961,"One, Two, Three (1961)"
tt0055018,7.9,28,Horror,1961,The Innocents (1961)
tt0055294,3.3,29,"Action, Adventure, Sci-Fi",1961,The Phantom Planet (1961)
tt0055608,6.1,30,"Action, Adventure, Sci-Fi",1961,Voyage to the Bottom of the Sea (1961)
tt0055257,7.2,31,Western,1961,One-Eyed Jacks (1961)
tt0054552,7.1,32,Comedy,1961,The Joey Bishop Show (1961–1965)
tt0055312,7.3,33,"Comedy, Drama",1961,Pocketful of Miracles (1961)
tt0054759,7.1,34,"Comedy, Romance",1961,Come September (1961)
tt0055304,7.1,35,"Drama, Horror, Mystery",1961,Pit and the Pendulum (1961)
tt0054535,7.2,36,Drama,1961,Dr. Kildare (1961–1966)
tt0054809,4.1,37,"Adventure, Romance",1961,Diary of a Nudist (1961)
tt0054777,6.8,38,Horror,1961,The Curse of the Werewolf (1961)
tt0055353,8.1,39,Drama,1961,A Raisin in the Sun (1961)
tt0055499,8.1,40,Drama,1961,Såsom i en spegel (1961)
