IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0055928,7.3,1.0,"Action, Adventure, Thriller",1962,Dr. No (1962)
tt0056059,7.2,2.0,"Action, Adventure, Drama",1962,Hatari! (1962)
tt0056085,7.1,3.0,Western,1962,How the West Was Won (1962)
tt0056172,8.3,4.0,"Adventure, Biography, Drama",1962,Lawrence of Arabia (1962)
tt0056556,6.4,5.0,"Adventure, Drama, History",1962,Taras Bulba (1962)
tt0056526,6.0,6.0,"Musical, Romance",1962,State Fair (1962)
tt0056023,5.6,7.0,"Comedy, Musical",1962,Girls! Girls! Girls! (1962)
tt0056138,6.1,8.0,"Drama, Musical, Sport",1962,Kid Galahad (1962)
tt0056368,6.6,9.0,"Drama, Horror, Mystery",1962,Premature Burial (1962)
tt0056210,7.7,10.0,"Comedy, Crime, Drama",1962,Mafioso (1962)
tt0054758,6.7,11.0,Drama,1962,Le combat dans l'île (1962)
tt0056141,7.4,12.0,"Drama, Romance",1962,A Kind of Loving (1962)
tt0056193,7.6,13.0,"Crime, Drama, Romance",1962,Lolita (1962)
tt0056592,8.3,14.0,"Crime, Drama",1962,To Kill a Mockingbird (1962)
tt0057239,7.5,15.0,"Drama, Romance",1962,The L-Shaped Room (1962)
tt0055710,7.7,16.0,Western,1962,The Virginian (1962–1971)
tt0056687,8.1,17.0,"Drama, Horror, Thriller",1962,What Ever Happened to Baby Jane? (1962)
tt0055701,7.5,18.0,"Action, Crime, Drama",1962,The Saint (1962–1969)
tt0056197,7.8,19.0,"Action, Drama, History",1962,The Longest Day (1962)
tt0056218,8.0,20.0,"Drama, Thriller",1962,The Manchurian Candidate (1962)
tt0055708,8.4,21.0,"Comedy, Talk-Show",1962,The Tonight Show Starring Johnny Carson (1962–1992)
tt0056217,8.1,22.0,"Action, Drama, Western",1962,The Man Who Shot Liberty Valance (1962)
tt0055666,8.5,23.0,"Action, Drama, War",1962,Combat! (1962–1967)
tt0055824,7.8,24.0,"Drama, Thriller",1962,Cape Fear (1962)
tt0055683,7.0,25.0,"Animation, Comedy, Family",1962,The Jetsons (1962–1963)
tt0055686,7.3,26.0,Comedy,1962,The Lucy Show (1962–1968)
tt0056262,7.7,27.0,"Comedy, Musical, Romance",1962,The Music Man (1962)
tt0055972,7.3,28.0,"Crime, Mystery, Thriller",1962,Experiment in Terror (1962)
tt0056044,6.2,29.0,Drama,1962,Guns of Darkness (1962)
tt0055032,7.9,30.0,"Drama, Romance",1962,Jules et Jim (1962)
tt0056058,8.7,31.0,"Action, Drama, History",1962,Seppuku (1962)
tt0056241,8.1,32.0,"Biography, Drama",1962,The Miracle Worker (1962)
tt0056732,8.2,33.0,"Comedy, Drama, Fantasy",1962,El Ángel Exterminador (1962)
tt0055657,8.6,34.0,"Crime, Drama, Mystery",1962,The Alfred Hitchcock Hour (1962–1965)
tt0057427,7.8,35.0,"Drama, Mystery, Thriller",1962,Le procès (1962)
tt0056264,7.2,36.0,"Adventure, Drama, History",1962,Mutiny on the Bounty (1962)
tt0056568,7.1,37.0,Drama,1962,Term of Trial (1962)
tt0055689,7.5,38.0,"Comedy, War",1962,McHale's Navy (1962–1966)
tt0056663,8.1,39.0,Drama,1962,Vivre sa vie: Film en douze tableaux (1962)
tt0056142,5.9,40.0,"Action, Adventure, Fantasy",1962,Kingu Kongu tai Gojira (1962)
tt0055719,6.7,41.0,"Adventure, Drama, History",1962,The 300 Spartans (1962)
tt0055798,7.8,42.0,"Biography, Crime, Drama",1962,Birdman of Alcatraz (1962)
