IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0848228,8.1,1,"Action, Sci-Fi",2012,The Avengers (2012)
tt1345836,8.4,2,"Action, Thriller",2012,The Dark Knight Rises (2012)
tt1392170,7.2,3,"Adventure, Sci-Fi, Thriller",2012,The Hunger Games (2012)
tt1074638,7.8,4,"Action, Adventure, Thriller",2012,Skyfall (2012)
tt0903624,7.9,5,"Adventure, Family, Fantasy",2012,The Hobbit: An Unexpected Journey (2012)
tt1673434,5.5,6,"Adventure, Drama, Fantasy",2012,The Twilight Saga: Breaking Dawn - Part 2 (2012)
tt0948470,7.0,7,"Action, Adventure",2012,The Amazing Spider-Man (2012)
tt1217209,7.2,8,"Animation, Adventure, Comedy",2012,Brave (2012)
tt1637725,7.0,9,"Comedy, Fantasy",2012,Ted (2012)
tt1277953,6.9,10,"Animation, Adventure, Comedy",2012,Madagascar 3: Europe's Most Wanted (2012)
tt1482459,6.4,11,"Animation, Adventure, Comedy",2012,The Lorax (2012)
tt1772341,7.7,12,"Animation, Adventure, Comedy",2012,Wreck-It Ralph (2012)
tt0443272,7.4,13,"Biography, Drama, History",2012,Lincoln (2012)
tt1409024,6.8,14,"Action, Adventure, Comedy",2012,Men in Black 3 (2012)
tt1853728,8.4,15,"Drama, Western",2012,Django Unchained (2012)
tt1667889,6.6,16,"Animation, Adventure, Comedy",2012,Ice Age: Continental Drift (2012)
tt1735898,6.1,17,"Action, Adventure, Drama",2012,Snow White and the Huntsman (2012)
tt1707386,7.6,18,"Drama, Musical, Romance",2012,Les Misérables (2012)
tt0837562,7.1,19,"Animation, Comedy, Family",2012,Hotel Transylvania (2012)
tt1397280,6.3,20,"Action, Crime, Thriller",2012,Taken 2 (2012)
tt1232829,7.2,21,"Action, Comedy, Crime",2012,21 Jump Street (2012)
tt1024648,7.7,22,"Biography, Drama, History",2012,Argo (2012)
tt1045658,7.8,23,"Comedy, Drama, Romance",2012,Silver Linings Playbook (2012)
tt1446714,7.0,24,"Adventure, Mystery, Sci-Fi",2012,Prometheus (I) (2012)
tt1599348,6.8,25,"Action, Crime, Mystery",2012,Safe House (2012)
tt1606389,6.8,26,"Drama, Romance",2012,The Vow (2012)
tt0454876,7.9,27,"Adventure, Drama, Fantasy",2012,Life of Pi (2012)
tt1915581,6.1,28,"Comedy, Drama",2012,Magic Mike (2012)
tt1194173,6.7,29,"Action, Adventure, Mystery",2012,The Bourne Legacy (2012)
tt1397514,5.8,30,"Action, Adventure, Comedy",2012,Journey 2: The Mysterious Island (2012)
tt1446192,7.3,31,"Animation, Adventure, Family",2012,Rise of the Guardians (2012)
tt1790885,7.4,32,"Drama, History, Thriller",2012,Zero Dark Thirty (2012)
tt1907668,7.3,33,"Drama, Thriller",2012,Flight (I) (2012)
tt1621045,6.6,34,"Comedy, Romance",2012,Think Like a Man (2012)
tt1790886,6.2,35,Comedy,2012,The Campaign (2012)
tt1764651,6.6,36,"Action, Adventure, Thriller",2012,The Expendables 2 (2012)
tt1646987,5.8,37,"Action, Adventure, Fantasy",2012,Wrath of the Titans (2012)
tt1077368,6.2,38,"Comedy, Fantasy, Horror",2012,Dark Shadows (2012)
tt1047540,6.1,39,"Comedy, Family",2012,Parental Guidance (2012)
tt0401729,6.6,40,"Action, Adventure, Sci-Fi",2012,John Carter (2012)
tt1591479,6.5,41,"Action, Adventure, Drama",2012,Act of Valor (2012)
tt1758830,6.2,42,"Comedy, Romance",2012,This Is 40 (2012)
tt1524137,6.5,43,"Action, Crime, Drama",2012,Contraband (2012)
tt1276104,7.4,44,"Action, Crime, Drama",2012,Looper (2012)
tt2215285,4.9,45,"Comedy, Crime, Drama",2012,Madea's Witness Protection (2012)
tt1440129,5.8,46,"Action, Adventure, Sci-Fi",2012,Battleship (2012)
tt1981677,7.2,47,"Comedy, Music, Romance",2012,Pitch Perfect (2012)
tt1667353,5.6,48,"Adventure, Comedy, Drama",2012,Mirror Mirror (I) (2012)
tt1706593,7.1,49,"Sci-Fi, Thriller",2012,Chronicle (2012)
tt1535438,6.3,50,"Comedy, Drama, Romance",2012,Hope Springs (2012)
tt1496025,6.4,51,"Action, Fantasy, Horror",2012,Underworld Awakening (2012)
tt1327194,6.5,52,"Drama, Romance",2012,The Lucky One (2012)
tt1645170,6.4,53,Comedy,2012,The Dictator (2012)
tt1386703,6.3,54,"Action, Adventure, Mystery",2012,Total Recall (I) (2012)
tt0790724,7.0,55,"Action, Crime, Mystery",2012,Jack Reacher (2012)
tt1605630,6.7,56,Comedy,2012,American Reunion (2012)
tt1623288,7.0,57,"Animation, Adventure, Comedy",2012,ParaNorman (2012)
tt1596350,6.3,58,"Action, Comedy, Romance",2012,This Means War (2012)
tt1636826,6.7,59,Comedy,2012,Project X (2012)
tt1596365,6.4,60,"Drama, Fantasy, Horror",2012,The Woman in Black (2012)
tt2109184,4.6,61,Horror,2012,Paranormal Activity 4 (2012)
tt1560985,4.2,62,Horror,2012,The Devil Inside (2012)
tt1462769,6.6,63,"Comedy, Drama, Family",2012,The Odd Life of Timothy Green (2012)
tt0485985,5.9,64,"Action, Adventure, Drama",2012,Red Tails (2012)
tt0431021,5.9,65,"Horror, Thriller",2012,The Possession (I) (2012)
tt2023453,6.4,66,"Comedy, Family",2012,Diary of a Wimpy Kid: Dog Days (2012)
tt1922777,6.8,67,"Horror, Mystery, Thriller",2012,Sinister (I) (2012)
tt1615065,6.5,68,"Crime, Drama, Thriller",2012,Savages (2012)
tt1748122,7.8,69,"Adventure, Comedy, Drama",2012,Moonrise Kingdom (2012)
tt1648179,6.4,70,"Action, Comedy, Sport",2012,Here Comes the Boom (2012)
tt1234719,5.4,71,"Action, Thriller",2012,Red Dawn (2012)
tt0383010,5.1,72,"Comedy, Family",2012,The Three Stooges (2012)
tt1855325,5.4,73,"Action, Horror, Sci-Fi",2012,Resident Evil: Retribution (2012)
tt1259521,7.0,74,Horror,2012,The Cabin in the Woods (2012)
tt1586265,5.7,75,"Comedy, Drama, Romance",2012,What to Expect When You're Expecting (2012)
