IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0073195,8.0,1.0,"Adventure, Drama, Thriller",1975,Jaws (1975)
tt0073629,7.4,2.0,"Comedy, Musical",1975,The Rocky Horror Picture Show (1975)
tt0073486,8.7,3.0,Drama,1975,One Flew Over the Cuckoo's Nest (1975)
tt0072610,6.4,4.0,"Family, Adventure, Drama",1975,The Adventures of the Wilderness Family (1975)
tt0073631,6.6,5.0,"Action, Sci-Fi, Sport",1975,Rollerball (1975)
tt0073317,5.2,6.0,"Comedy, Drama",1975,Lucky Lady (1975)
tt0073636,6.9,7.0,"Adventure, Drama, Western",1975,Rooster Cogburn (1975)
tt0073092,7.3,8.0,"Crime, Drama, Sport",1975,Hard Times (1975)
tt0072665,4.9,9.0,"Comedy, Musical",1975,At Long Last Love (1975)
tt0071853,8.3,10.0,"Adventure, Comedy, Fantasy",1975,Monty Python and the Holy Grail (1975)
tt0073580,7.6,11.0,"Drama, Thriller",1975,Professione: reporter (1975)
tt0073540,7.6,12.0,"Drama, Mystery",1975,Picnic at Hanging Rock (1975)
tt0073076,7.7,13.0,"Documentary, Comedy, Drama",1975,Grey Gardens (1975)
tt0073155,7.4,14.0,"Drama, Romance",1975,L'important c'est d'aimer (1975)
tt0075040,8.0,15.0,"Comedy, Drama, War",1975,Pasqualino Settebellezze (1975)
tt1353813,,,Comedy,1975,Shhh (1975)
tt0072562,8.1,17.0,"Comedy, Music",1975,Saturday Night Live (1975– )
tt0073650,6.0,18.0,"Drama, War",1975,Salò o le 120 giornate di Sodoma (1975)
tt0074074,7.1,19.0,"Action, Adventure, Drama",1975,Wonder Woman (1975–1979)
tt0072554,6.6,20.0,Comedy,1975,One Day at a Time (1975–1984)
tt0072890,8.0,21.0,"Biography, Crime, Drama",1975,Dog Day Afternoon (1975)
tt0072684,8.1,22.0,"Adventure, Drama, History",1975,Barry Lyndon (1975)
tt0072519,7.5,23.0,Comedy,1975,The Jeffersons (1975–1985)
tt0072500,8.8,24.0,Comedy,1975,Fawlty Towers (1975–1979)
tt0072567,7.0,25.0,"Action, Crime, Drama",1975,Starsky and Hutch (1975–1979)
tt0073812,6.6,26.0,"Drama, Musical",1975,Tommy (1975)
tt0072564,7.3,27.0,"Adventure, Drama, Sci-Fi",1975,Space: 1999 (1975–1977)
tt0072582,7.1,28.0,Comedy,1975,"Welcome Back, Kotter (1975–1979)"
tt0073705,6.6,29.0,"Horror, Sci-Fi",1975,Shivers (1975)
tt0073453,7.2,30.0,"Crime, Mystery, Thriller",1975,Night Moves (1975)
tt0075560,8.5,31.0,"Drama, History, Romance",1975,Poldark (1975– )
tt0072443,8.2,32.0,"Biography, Drama",1975,Zerkalo (1975)
tt0073768,6.1,33.0,Comedy,1975,Supervixens (1975)
tt0073802,7.5,34.0,"Mystery, Thriller",1975,Three Days of the Condor (1975)
tt0074019,7.4,35.0,Comedy,1975,Lucky Feller (1975– )
tt0072856,6.2,36.0,"Action, Comedy, Sci-Fi",1975,Death Race 2000 (1975)
tt0072926,6.4,37.0,"Action, Crime, Thriller",1975,The Eiger Sanction (1975)
tt0072730,6.6,38.0,"Comedy, Drama, Sci-Fi",1975,A Boy and His Dog (1975)
tt0073341,7.9,39.0,Adventure,1975,The Man Who Would Be King (1975)
tt0073692,6.3,40.0,"Comedy, Drama",1975,Shampoo (1975)
tt0073115,5.4,41.0,Drama,1975,Histoire d'O (1975)
tt0073440,7.8,42.0,"Comedy, Drama, Music",1975,Nashville (1975)
tt0073582,7.7,43.0,"Horror, Mystery, Thriller",1975,Profondo rosso (1975)
tt0072752,5.9,44.0,"Drama, Fantasy, Horror",1975,La bête (1975)
tt0071650,5.2,45.0,"Drama, Horror, Thriller",1975,Ilsa: She Wolf of the SS (1975)
tt0073747,6.9,46.0,"Horror, Mystery, Sci-Fi",1975,The Stepford Wives (1975)
tt0073335,6.1,47.0,"Drama, Romance",1975,Mahogany (1975)
tt0072081,7.1,48.0,"Comedy, Crime, Mystery",1975,The Return of the Pink Panther (1975)
tt0072951,6.4,49.0,"Adventure, Family, Fantasy",1975,Escape to Witch Mountain (1975)
tt0073312,7.8,50.0,"Comedy, War",1975,Love and Death (1975)
tt0073349,6.2,51.0,"Drama, History, Romance",1975,Mandingo (1975)
tt0073043,2.8,52.0,"Horror, Sci-Fi",1975,The Giant Spider Invasion (1975)
tt0073707,8.3,53.0,"Action, Adventure, Comedy",1975,Sholay (1975)
tt0072560,6.6,54.0,"Action, Crime, Drama",1975,S.W.A.T. (1975–1976)
tt0073820,6.8,55.0,"Horror, Thriller",1975,Trilogy of Terror (1975 TV Movie)
tt0072471,6.8,56.0,"Crime, Drama",1975,Baretta (1975–1978)
tt0071361,6.7,57.0,"Animation, Action, Comedy",1975,Coonskin (1975)
tt0073282,6.9,58.0,"Action, Comedy, Crime",1975,Let's Do It Again (1975)
tt0072506,5.2,59.0,"News, Talk-Show",1975,Good Morning America (1975– )
tt0075511,8.1,60.0,Comedy,1975,The Good Life (1975–1978)
tt0072761,5.7,61.0,"Biography, Crime, Drama",1975,Capone (1975)
tt0072559,7.3,62.0,"Drama, Romance",1975,Ryan's Hope (1975–1989)
tt0073172,6.4,63.0,"Comedy, Drama",1975,Inserts (1975)
tt0071411,8.3,64.0,"Adventure, Biography, Drama",1975,Dersu Uzala (1975)
tt0073766,7.2,65.0,Comedy,1975,The Sunshine Boys (I) (1975)
tt0072608,6.1,66.0,"Comedy, Crime, Musical",1975,The Adventure of Sherlock Holmes' Smarter Brother (1975)
tt0072735,6.8,67.0,"Mystery, Western",1975,Breakheart Pass (1975)
tt0075019,7.1,68.0,"Drama, History, War",1975,Operation: Daybreak (1975)
tt0071059,8.1,69.0,"Action, Comedy, Crime",1975,The Sweeney (1975–1978)
tt0073113,6.2,70.0,"Adventure, Drama, History",1975,The Hindenburg (1975)
tt0072541,8.0,71.0,"Comedy, Family, Game-Show",1975,Match Game PM (1975–1981)
tt0072653,6.4,72.0,"Family, Comedy, Western",1975,The Apple Dumpling Gang (1975)
tt0073530,5.9,73.0,"Drama, Thriller",1975,Permission to Kill (1975)
tt0072516,6.9,74.0,"Adventure, Family, Fantasy",1975,Isis (1975–1976)
tt0073240,6.0,75.0,"Action, Crime, Thriller",1975,The Killer Elite (1975)
