IMDbId,keywords
tt0047396,apartment|neighbor|dog|wheelchair|broken-leg|killing-a-dog|death-of-a-pet|photographer|salesman|invalid|courtyard|nurse|newlywed|woman|dancer|murder|composer|window-shade|sleeping|piano|bed|yapping-dog|trunk|traveling-salesman|apartment-building|voyeur|fire-escape|voyeurism|witness|sexy-woman|surveillance|scene-at-a-window|new-york-city|peeping-tom|cat|suspense|imaginary-date|killing-an-animal|1950s|two-word-title|sitting|hanging-up-without-saying-goodbye|subjective-camera|man-on-the-verge-of-tears|character's-point-of-view-camera-shot|greenwich-village-manhattan-new-york-city|manhattan-new-york-city|attacking-someone-in-a-wheelchair|carried-over-threshold|carrying-bride-across-threshold|yawning|writing-on-leg-cast|wine|whistling|watching|watching-through-window|waking-up|viewfinder|venetian-blind|urban-setting|underwear|u.s.-soldier|trowel|torso|toes|thrown-out-window|thermometer|temporary-blindness|telephoto-lens|telephone|telephone-call|suitcase|suicidal-thoughts|street-life|strangling-a-dog|songwriter|slide-photograph|sleeping-on-fire-escape|singing-lesson|shaving|sculpture|screaming|may-december-romance|sandwich|rope|restaurant|reference-to-reader's-digest|reference-to-general-motors|reading|radio|postcard|police|policeman|police-lieutenant|pills|pianist|photograph|phone-book|party|pakistan|pajamas|packing|note|note-slid-under-a-door|nightgown|musical-scale|moving-man|money|miss-lonely-hearts|milkman|mattress|listening-to-a-radio|kiss|itch|innocent-bystander|ice-delivery-man|ice-bucket|hanging-from-a-window-ledge|girl-friday|food|flower-bed|flash-camera|fight|feminine-intuition|fear|falling-asleep|ethics|electric-razor|eating-alone|east-river-new-york-city|drink|drinking|detective|darkness|dance-practice|crying|costume-jewelry-salesman|coffee|clothes-line|climbing-a-fire-escape|climbing-a-fence|cigarette-smoking|cigarette-box|cigar-smoking|canary|cafe|butcher-knife|burglary|brushing-hair|bride-and-groom|breaking-and-entering|brandy|brandy-snifter|book|blinded-by-camera-flash|bird-cage|binoculars|beach-chair|bazaar-magazine|ballet-dancer|balcony|bail|back-scratcher|alligator-handbag|alleyway|21-the-restaurant-manhattan-new-york-city|waiter|lobster|hatbox|anonymous-telephone-call|secretly-observing|knife|claustrophobia|husband-wife-relationship|song|ring|model|loneliness|lechery|jewelry|handbag|garden|bachelor|suicide-attempt|class-differences|long-take|injury|camera|amateur-detective|director-cameo|photojournalist|falling-from-height|dead-dog|single-set-production|leg-in-cast|spectator|gender|world-war-two-veteran|theft|helicopter|hearing-aid|friendship|face-slap|dating|based-on-short-story|blockbuster|wedding-ring|sculptor|rainstorm|police-detective|murder-of-wife|massage|marriage|heat-wave|flashbulb|falling-from-a-window|dismemberment|blackmail|arrest|suspicion|photography|recovery|socialite|meta-film|title-spoken-by-character|surprise-ending
tt0046816,ship-captain|court-martial|mutiny|naval|lawyer|captain-tyrannical|refusing-to-obey-orders|sea-captain|ship's-crew|u.s.-military|courtroom|navy-ship|naval-uniform|storm-at-sea|psychiatrist|naval-officer|post-traumatic-stress-disorder|minesweeper|drink-thrown-into-someone's-face|u.s.-navy|military-justice|typhoon|pearl-harbor|based-on-a-novel|naval-battle|judiciary|judicial-system|judicial|yosemite-national-park|1940s|wet|boatswain's-call|national-book-award|uniform|seasickness|orchestral-music-score|ukulele|singer|sand|san-francisco-california|pier|north-pacific|nightclub|mother-son-relationship|military|marriage-proposal|key|hawaii|graduation|cynicism|ball|author|aircraft-carrier|1944|golden-gate-bridge|blockbuster|world-war-two|cowardice|paranoid-psychosis|pulitzer-prize-source|based-on-novel|title-spoken-by-character|strawberry|singing
tt0047296,union|murder|longshoreman|dock|death|waterfront|boxer|ex-boxer|mob|pigeon|dockworker|conscience|priest|whisky|forced-entry|new-york-city|beer|labor-movement|labor-relations|labor|three-word-title|man-on-the-verge-of-tears|watching-tv|prizefighter|revolver|ship|hook|loyalty|pet-cat|intimidation|church|siren|falling-into-water|beating|family-relationships|shipyard|gangster|fight-the-system|death-of-brother|pulitzer-prize-source|redemption|corruption|subpoena|steamship|pelted-with-food|loss-of-son|famous-line|corpse|assault|alley|oath|jacket|rooftop|mafia|fistfight|whistleblower|taxi|wedding-reception|labor-union|brother-brother-relationship|new-jersey|loss-of-brother|gun|organized-crime|solidarity|based-on-article|bar|glove|catholic-church|harbor|title-spoken-by-character|hearing|thug|dockyard|tenacity|passion|slip-the-undergarment|trauma|hate|killing-a-pet|flirting|reference-to-marilyn-monroe|witness|fear|bride|stool-pigeon|police-officer|money|investigation|tragic-event|fired-from-the-job|brooklyn-new-york-city|urban-setting|brother-sister-relationship|hit-with-a-baseball-bat|misfit|deliberate-cruelty|confrontation|irish-catholic|irish-american|regret|panhandling|melodrama|last-rites|labor-union-corruption|former-athlete|fixed-fight|father-daughter-relationship|dancing|courtroom|confession|catholic|animal-abuse|blockbuster|gambling|social-issues|homelessness|social-criticism|famous-score|face-slap|racing-pigeon|street-gang|cult-film
tt0047522,career|movie-star|fame|actress|singer|alcoholism|fictional-variety-show|resentment-toward-wife|show-business|flashback|sound-stage|dressing-room|scrapbook|film-camera|watching-tv|film-director|nightclub|music-conductor|backstage|celebrity|drunkenness|costume|press|stage|photographer|theatre|entertainer|reporter|performer|tv-camera|spotlight|hollywood|police-officer|judge|fistfight|sanitorium|billboard|microphone|marquee|film-set|rehearsal|cinema|sheet-music|talent-agent|newspaper-headline|police-arrest|christmas-tree|race-track|phonograph-record|academy-award|reference-to-alexander-korda|record-player|listening-to-the-radio|justice-of-the-peace|marriage-proposal|recording-session|preview|watching-a-movie|film-projector|reference-to-joan-crawford|reference-to-marlene-dietrich|location-shooting|orchestra|theatre-audience|wedding|self-destructiveness|song|singing|oscar-statuette|musician|fan|face-slap|elopement|death-of-husband|dancing|dancer|party|waitress|self-sacrifice|santa-anita-racetrack|reputation|publicity|proposal|pride|pianist|pasadena-california|film-studio|film-producer|malibu-california|los-angeles-california|funeral|eavesdropping|drowning|drive-in-restaurant|dissipation|director|coconut-grove|beach|audition|arrest|ambition|alcoholic|star-crossed-lovers|rise-and-fall|price-of-fame|melancholy|intimacy|partially-lost-film|washed-up-star|tragic-love|suicide|self-discovery|screen-test|marriage|love|loss-of-husband|husband-wife-relationship|humiliation|honeymoon|has-been|filmmaking|courtroom|behind-the-scenes|award|blockbuster|wilhelm-scream|reconstructed-film|rising-star|film-industry|falling-star|actor|remake|oscars|hollywood-california
tt0046834,tailor|casanova|italy|reference-to-the-novel-of-mice-and-men|of-mice-and-men-spoof|womanizer|meta-film|sword-fight|brother-sister-relationship|blond|brunette|genoa-italy|reference-to-orson-welles|swashbuckler|apostrophe-in-title|three-word-title|fidelity|breaking-the-fourth-wall|alternate-ending|axe|wedding-reception|fake-moustache|test-of-love|horse|haystack|simultaneous-knockout|sentry|human-skull|tunnel|pet-mouse|dungeon|family-crest|secret-passage|petticoat|cat|man-dressed-as-woman|woman-dressed-as-man|switching-clothes|venice-italy|treachery|toast|swordsman|swordplay|servant|seduction|rapier|prison|prison-escape|impersonation|gondola|embroidery|duel|doge-of-venice|canal|balcony|apprentice|18th-century|period-piece|character-name-in-title
tt0047150,king|saracen|knight|plantagenet|wound|third-crusade|holy-land|death|battle|crusade|epic-battle|swashbuckler|sword-fight|medieval-times|kiss|austrian|drawbridge|gaelic|scotsman|royalty|throne|javelin|court-jester|chivalry|armor|loyalty|reference-to-saladin|reference-to-richard-the-lionheart|court-intrigue|12th-century|1190s|year-1191|weapon|trumpet|traitor|tears|sword|swordplay|sultan|spear|song|singing|singer|shield|servant|scot|race-relations|queen|pike|physician|pageantry|mace-the-weapon|love|lance|joust|husband-wife-relationship|horse-riding|harp|followed-by-comic-book|flail|fight|epic|drum|disguise|dagger|crying|crossbow|christian|chase|bow-and-arrow|battle-axe|banner|arab|conspiracy|based-on-true-story|based-on-novel|character-name-in-title
tt0047478,samurai|battle|16th-century|village|bandit|farmer|rice|villager|japan|strategy|training|ronin|epic|secret|armor|outburst|following-someone|despair|drunkenness|burial|practice|river|old-woman|millet|barricade|waterfall|forest|panic|young-love|harvest|head-shaving|siege|showdown|kneeling|number-in-title|town|child-in-peril|premarital-sex|falling-off-a-horse|male-bonding|captive-woman|victory|offscreen-killing|celebration|happiness|humor|grief|mistress|revenge|friendship|death-of-wife|dejection|barley|straight-razor|deception|long-black-hair|false-alarm|misunderstanding|old-friend|sickle|weeping|washing-hair|fear|crowd|anger|hostage|old-man|bare-chested-male|slow-motion-scene|weeping-woman|weeping-man|carrying-woman-over-shoulder|tied-up|horse-drawn-plow|father-hits-daughter|rice-paddy|catching-fish-by-hand|map|mockery|village-elder|campfire|tomb|singing|crying-baby|water-mill|prisoner|fire|horse-riding|chase|children|hill|tree-trunk|chopping-wood|barefoot-woman|sabre|genealogy|playing-flute|courage|admiration|thief|blind-man|starvation|kiss|forbidden-love|love-interest|rain-fight|kendo|hand-to-hand-combat|combat|sword-fight|stick-fight|samurai-sword|spear|bo-staff|standoff|disarming-someone|flintlock-rifle|shot-with-a-bow-and-arrow|bow-and-arrow|musket|battlefield|cult-film|suicide|shot-to-death|orphan|illiteracy|house-on-fire|fishing|duel|assumed-identity|recruiting|sheath|katana|morality|moral-ambiguity|hope|samurai-warrior|honor|sake|rifle|father-daughter-relationship|farm|mercenary|rain|hunger|flower|swordsman|warrior|1570s|peasant|class-differences|arson|sword|mill|mud|suffering|jidai-geki|gun|horse|violence|martial-arts|tough-guy|action-hero|hero|number-7-in-title|tragic-hero|man-with-no-name
tt0046451,gold|french-noir|heist|paris-france|betrayal|friendship|gangster|bar|friend|partner|gold-bar|franc|rival|retirement|money|ransom|man-slaps-woman|memory|cake|porcupine-head|pigeon|electrician|cartridge-case|midwife|french-resistance|car-horn|kitchen|backstage|boogeyman|nickname|brandy|country-road|hand-off|wurlitzer-jukebox|car-keys|champagne|sleeping|bed|pajamas|brushing-teeth|baby-costume|eating|food|pasties|windmill|strangulation|camaraderie|tied-up|gun-held-to-one's-back|held-at-gunpoint|orly-airport-paris|moulin-rouge|parking-garage|reward-notice|card-playing|eyeglasses|fire|overturned-car|shooting-out-tire|grenade|massacre|shot-in-the-back|car-chase|gun-battle|wound|nurse|doctor|hospital|mirror|hotel|older-man-younger-woman-relationship|being-followed|following-someone|circular-staircase|stuck-in-an-elevator|elevator|telephone-call|wine|secretary|typewriter|uncle-nephew-relationship|bank-guard|bicycle|smoking-in-bed|driver|car|restaurant|cafe|record-player|recording|rooftop|bribe|promise|handcuffs|hiding|hideout|liar|lie|newspaper|honor|courage|sacrifice|blindfold|boyfriend-girlfriend-relationship|dancing|dancer|snorting-cocaine|cocaine|drug-use|drug-deal|taxi-driver|taxi|voice-over-inner-thoughts|gang-war|drink|drinking|love|sex|lawyer|rifle|explosion|beating|death|murder|violence|blood|face-slap|car-explosion|theft|thief|escape|voice-over-narration|topless-female-nudity|bare-breasts|female-nudity|nudity|police-car|policeman|police|pursuit|chase|gun|kiss|cigarette-smoking|gunfight|hostage|torture|police-raid|illegal-drugs|mob|jazz-music|slang-in-title|showgirl|jukebox|interior-monologue|fence|drug-dealer|double-cross|cellar|ambulance|tough-guy|machine-gun|kidnapping|car-set-on-fire|nightclub|robbery|based-on-novel
tt0046912,blackmail|murder|letter|writer|marriage|evidence|alibi|handbag|police|inspector|sporting-goods-salesman|policeman|tennis-player|love-letter|money|key|fraud|apartment|attache-case-of-money|fake-limp|unfaithful-wife|scissor|picture|chelsea|drinking-wine|newspaper-headline|wainscoting|smoking|orchestral-music-score|single-set-production|villain-arrested|1950s|based-on-tv-movie|american-abroad|group-photo|resentment-toward-wife|combing-mustache|guilt|glasgow-scotland|raincoat|looking-through-a-window|man-carrying-woman's-handbag|flashlight|charing-cross-station-london|inheritance|dog-racing|robbery|ledbury-england|home-secretary|briefcase|judge|wrongful-conviction|false-accusation-of-murder|throw-rug|lawyer|mending-basket|throat-bruise|brussels-belgium|shoes|sewing-basket|old-schoolmate|alias|grenville-hotel-london|dinner-party|london-bobby|flash-camera|camera|investigation|tea|neck-scarf|planting-evidence|fireplace|burning-scarf-in-fireplace|destroying-evidence|trophy|blanket|aspirin|death|dead-body|taxi|nightgown|pay-phone|wristwatch|deception|deceit|lie|latchkey|tuxedo|martini|light-under-door|hiding-behind-curtains|overhead-shot|bank-statement|pimlico-london|debt|bell-hyde-park-england|wiping-off-fingerprints|last-will-and-testament|stealing|theft|thief|court-martial|pipe-smoking|cigar-smoking|photograph|wimbledon|selling-a-car|cambridge-university|cane|gloves|buying-a-car|liverpool|theatre-ticket|cigarette-smoking|unfaithfulness|adultery|brixton|drink|drinking|ocean-liner|reading-newspaper|telephone-call|queen-mary-the-ocean-liner|breaking-and-entering|imperative-in-title|stockings|newspaper-clipping|newspaper-article|stabbed-with-scissors|evil-man|murder-disguised-as-robbery-gone-wrong|plot-to-murder-wife|secret-from-wife|secret-from-husband|husband-wife-relationship|murder-of-wife|television-writer|self-defense|police-inspector|lure-of-riches|jealousy|infidelity|frame-up|fortune-hunter|confession|american-in-the-uk|woman-in-jeopardy|police-detective|mind-game|false-accusation|deliberate-cruelty|stabbed-in-the-back|suspense|trial|phone-booth|staircase|stag-party|stabbing|pier|london-england|former-athlete|extramarital-affair|ex-convict|capital-punishment|author|director-cameo|scissors|attempted-murder|telephone|3-dimensional|strangulation|cover-up|based-on-play|surprise-ending|victoria-station|blockbuster
tt0047034,kaiju|japan|gojira|godzilla|tokusatsu|monster|psychotronic|allegory|monster-terrorizes-city|scientist|japanese|radiation|giant-monster|island|ship|panic|paleontologist|navy|nuclear-weapon|nature-of-the-beast|suicide|diver|choir|oxygen|bandaged-head|city-on-fire|fire|destruction-of-city|mass-destruction|destruction|argument|military|evacuation|train|high-voltage-line|high-voltage|power-line|fiance-fiancee-relationship|eye-patch|dance|tokyo-bay|tokyo-japan|father-daughter-relationship|crowd|fossil|geology|dinosaur|giant-footprint|radioactivity|research|storm|villager|village|beach|coast-guard|survivor|exploding-ship|telephone-call|map|radio|radio-operator|ship-fire|sinking-ship|sailor|fisherman|pacific-ocean|trilobite|h-bomb|anti-nuclear|monster-movie|gun|creature-feature|cult-film|television|skeleton|machine-gun|helicopter|geiger-counter|exploding-car|electric-shock|aquarium|radioactive-material|nuclear-accident|reporter|laboratory|disaster|first-part|remade|one-word-title|horror-movie-remade|asian-horror|death-of-title-character|1950s|part-stop-motion|narrative|character-name-in-title
