IMDbId,actors
tt0032910,Mel Blanc|Don Brodie|Stuart Buchanan|Walter Catlett|Marion Darlington|Frankie Darro|Cliff Edwards|Dickie Jones|Charles Judels|John McLeish|Clarence Nash|Patricia Page|Thurl Ravenscroft|Christian Rub|Evelyn Venable
tt0032455,Leopold Stokowski|Deems Taylor|Corey Burton|Walt Disney|Hugh Douglas|James MacDonald|Tim Matheson|Julietta Novis|Paul J. Smith
tt0032384,Edwige Feuillère|John Lodge|Aimé Clariond|Jean Worms|Jean Debucourt|Raymond Aimos|Gabrielle Dorziat|Henri Bosc|Gaston Dubosc|Marcel André|Eddy Debray|Jacques Roussel|Colette Régis|Sylvain Itkine|Jacqueline Marsan|Henri Beaulieu|William Aguet|Archduke Franz Ferdinand|Jean Buquet|Monique Clariond|Francine Claudel|Louis Florencie|Georges-François Frontec|Gilbert Gil|Jean-Paul Le Chanois|Geneviève Morel|Primerose Perret|Philippe Richard
tt0032976,Laurence Olivier|Joan Fontaine|George Sanders|Judith Anderson|Nigel Bruce|Reginald Denny|C. Aubrey Smith|Gladys Cooper|Florence Bates|Melville Cooper|Leo G. Carroll|Leonard Carey|Lumsden Hare|Edward Fielding|Philip Winter|Forrester Harvey|Billy Bevan|Egon Brecher|Gino Corrado|Alfred Hitchcock|Leyland Hodgson|Alphonse Martell|William H. O'Brien|Ronald R. Rondell|Jacob Steven|Phyllis Woodward
tt0032553,Charles Chaplin|Jack Oakie|Reginald Gardiner|Henry Daniell|Billy Gilbert|Grace Hayle|Carter DeHaven|Paulette Goddard|Maurice Moscovitch|Emma Dunn|Bernard Gorcey|Paul Weigel|Chester Conklin|Esther Michelson|Hank Mann|Florence Wright|Eddie Gribbon|Rudolph Anders|Eddie Dunn|Nita Pike|George Lynn|Wheeler Dryden|Fred Aldrich|Richard Alexander|Sig Arno|William Arnold|Joe Bordeaux|Don Brodie|Hans Conried|Gino Corrado|John Davidson|Max Davidson|Lew Davis|Francis Ernest Drake|Pat Flaherty|Bud Geary|Sam Harris|Eddie Hart|Leyland Hodgson|William Irving|Charles Irwin|Ethelreda Leopold|Torben Meyer|Jules Michelson|Bert Moorhouse|Nellie V. Nichols|Manuel París|Jack Perrin|Lucien Prival|Cyril Ring|Henry Roquemore|Tiny Sandford|Francesca Santoro|Hans Schumm|Harry Semels|Charles Sullivan|Carl Voss|Leonard Walker|Leo White|Harry Wilson
tt0032342,James Cagney|Ann Sheridan|Frank Craven|Donald Crisp|Frank McHugh|Arthur Kennedy|George Tobias|Jerome Cowan|Elia Kazan|Anthony Quinn|Lee Patrick|Blanche Yurka|George Lloyd|Joyce Compton|Thurston Hall|Ben Welden|John Arledge|Edward Keane|Selmer Jackson|Joseph Crehan|Murray Alper|Walter Bacon|Harris Berger|Phil Bloom|Ward Bond|Wade Boteler|James Carlisle|Steve Carruthers|Hugh Chapman|James Conaty|Oliver Cross|Dudley Dickerson|John Dilson|James Dime|Warren Douglas|Jay Eaton|Frank Faylen|Pat Flaherty|George Ford|Edward Gargan|Joe Gilbert|Malvern Gilmartin|David Gorcey|Joe Gray|Harrison Greene|Kit Guard|Robert Haines|Margaret Hayes|Sam Hayes|Oscar 'Dutch' Hendrian|Arthur Housman|George Humbert|John Indrisano|Danny Jackson|Thomas E. Jackson|Lois James|Payne B. Johnson|Colin Kenny|Victor Kilian|Joseph La Cava|Mike Lally|Charles Lane|Paula Lane|Ethelreda Leopold|Carl M. Leviness|Michael Mark|William Marshall|Eric Mayne|Pat McKee|Sidney Miller|Hans Moebus|Bert Moorhouse|Jack Mower|William Newell|William H. O'Brien|George O'Hanlon|Garry Owen|Paul Panzer|Sally Payne|Jack Perry|Lee Phelps|William 'Bill' Phillips|Bernice Pilot|Alexander Pollard|Fred Rapport|Jackie Salling|Scott Seaton|John Sheehan|Charles Sherlock|Buster Slaven|Stephen Soldi|Bob Steele|Larry Steers|Anne G. Sterling|Charles Sullivan|Elliott Sullivan|Frank Sully|Dale Van Sickel|Billy Wayne|Dick Wessel|Leo White|Frank Wilcox|Charles C. Wilson|Tom Wilson|Robert Winkler
tt0032551,Henry Fonda|Jane Darwell|John Carradine|Charley Grapewin|Dorris Bowdon|Russell Simpson|O.Z. Whitehead|John Qualen|Eddie Quillan|Zeffie Tilbury|Frank Sully|Frank Darien|Darryl Hickman|Shirley Mills|Roger Imhof|Grant Mitchell|Charles D. Brown|John Arledge|Ward Bond|Harry Tyler|William Pawley|Charles Tannen|Selmer Jackson|Charles Middleton|Eddy Waller|Paul Guilfoyle|David Hughes|Cliff Clark|Joe Sawyer|Frank Faylen|Adrian Morris|Hollis Jewell|Robert Homans|Irving Bacon|Kitty McHugh|Wally Albright|Erville Alderson|Josephine Allen|Robert J. Anderson|Frank Atkinson|Arthur Aylesworth|Trevor Bardette|John Binns|Joe Bordeaux|Leon Brace|Henry Brahe|George P. Breakston|Buster Brodie|Scotty Brown|Hal Budlong|Nora Bush|Russ Clark|Shirley Coates|Cal Cohen|Cecil Cook|Tex Cooper|Harry Cording|Jim Corey|Gino Corrado|Delmar Costello|Jane Crowley|W.H. Davis|Helen Dean|John Dilson|Lillian Drew|Ralph Dunn|Thornton Edwards|Billy Elmer|Pat Flaherty|James Flavin|Francis Ford|Emily Gerdes|Tyler Gibson|Barney Gilmore|William Haade|Ben Hall|Dean Hall|Edna Hall|Don Hawks|Sidney Hayes|Cliff Herbert|Charles Herzinger|Herbert Heywood|Harry Holden|E.J. Kaspar|David Kirkland|Lillian Lawrence|Rex Lease|Hazel Lollier|Mae Marsh|Louis Mason|Harry Matthews|Scotty Mattraw|Walter McGrail|Jules Michelson|Walter Miller|Philip Morris|Richard Neill|Frank Newburg|Frank O'Connor|L.F. O'Connor|George O'Hara|Ted Oliver|Inez Palange|Steve Pendleton|Jack Pennick|Walter Perry|Walton Pindon|Rose Plumer|Chauncey Pyle|Bob Reeves|Gladys Rehfeld|Waclaw Rekwart|Dick Rich|Gloria Roy|Peggy Ryan|Robert Shaw|Lee Shumway|Georgia Simmons|C.B. Steele|Al Stewart|Harry Strang|William Sundholm|Paul Sutton|Harry Tenbrook|Charles Thurston|D.H. Turner|Tom Tyler|Pearl Varvalle|Eleanore Vogel|Max Wagner|Harry Wallace|John Wallace|Glen Walters|Jack Walters|Frank Watson|Jim Welch|Charles West|Dan White|Norman Willis|Bill Wolfe|Bill Worth
tt0032285,Edward G. Robinson|Ann Sothern|Humphrey Bogart|Donald Crisp|Ralph Bellamy|Allen Jenkins|Charles D. Brown|Cecil Kellaway|Morgan Conway|Richard Lane|Paul Guilfoyle|John Ridgely|Joseph Crehan|Wilfred Lucas|Tom Tyler|Dick Wessel|Granville Bates|Paul Phillips|Don Rowan|Nanette Vallon|Tim Ryan|Joe Caits|Pat Gleason|Tommy Baker|Jimmy Aye|Sidney Bracey|Harlan Briggs|Louise Carter|Charles Coleman|G. Pat Collins|Gino Corrado|Jean Del Val|Frank Faylen|James Flavin|Mary Gordon|Creighton Hale|George Haywood|Max Hoffman Jr.|William Hopper|Armand Kaliz|Jack Kenney|Sam McDaniel|Edward McWade|Frank Moran|Leonard Mudie|Louis Natheaux|Terry Nibert|Edgar Norton|Frank Orth|Lee Phelps|Paul Porcasi|Georges Renavent|George Sorel|Amzie Strickland|Claude Wisberg
tt0032904,Cary Grant|Katharine Hepburn|James Stewart|Ruth Hussey|John Howard|Roland Young|John Halliday|Mary Nash|Virginia Weidler|Henry Daniell|Lionel Pape|Rex Evans|King Baggot|Hillary Brooke|Veda Buckland|Lita Chevret|Russ Clark|David Clyde|Robert De Bruce|Dorothy Fay|Claude King|Eric Mayne|Florine McKinney|Lee Phelps|Hilda Plowright|Helene Reynolds|Mildred Shay|Joseph Sweeney
tt0032599,Cary Grant|Rosalind Russell|Ralph Bellamy|Gene Lockhart|Porter Hall|Ernest Truex|Cliff Edwards|Clarence Kolb|Roscoe Karns|Frank Jenks|Regis Toomey|Abner Biberman|Frank Orth|John Qualen|Helen Mack|Alma Kruger|Billy Gilbert|Pat West|Edwin Maxwell|Irving Bacon|Wade Boteler|Harry C. Bradley|Wheaton Chambers|Edmund Cobb|Ann Doran|Ralph Dunn|Earl Dwire|Pat Flaherty|Jack Gardner|Eddie Hart|Marion Martin|Frank McLure|James Millican|Gene Morgan|Delmar Watson
